"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009415","response to water","18/290","471/21384",0.0382165605095541,2.81801010322864,4.67791604612394,8.45963213499173e-05,0.0277813968767194,0.0248570393107489,"AT3G11020/AT5G13330/AT5G24090/AT2G36270/AT4G18780/AT1G05680/AT5G06760/AT2G14610/AT1G15380/AT5G42380/AT2G38530/AT3G09940/AT2G41240/AT2G21490/AT1G36060/AT2G38340/AT5G15960/AT1G16370",18
NA,"GO:0010115","regulation of abscisic acid biosynthetic process","4/290","19/21384",0.210526315789474,15.5237749546279,7.42606436115406,0.000109354161234838,0.0277813968767194,0.0248570393107489,"AT3G52310/AT3G26790/AT4G18780/AT1G36060",4
NA,"GO:0010411","xyloglucan metabolic process","6/290","61/21384",0.0983606557377049,7.25291124929339,5.73425332003027,0.000175407715999684,0.0277813968767194,0.0248570393107489,"AT1G14080/AT2G37720/AT4G30280/AT4G18990/AT4G14130/AT4G25810",6
"BP","GO:0009414","response to water deprivation","17/290","458/21384",0.037117903930131,2.73699744014456,4.4059813349411,0.00018774314081986,0.0277813968767194,0.0248570393107489,"AT3G11020/AT5G13330/AT5G24090/AT2G36270/AT4G18780/AT1G05680/AT5G06760/AT2G14610/AT1G15380/AT5G42380/AT2G38530/AT3G09940/AT2G41240/AT2G21490/AT2G38340/AT5G15960/AT1G16370",17
"BP","GO:1902932","positive regulation of alcohol biosynthetic process","3/290","10/21384",0.3,22.1213793103448,7.83309185810479,0.000276034195106629,0.0277813968767194,0.0248570393107489,"AT3G26790/AT4G18780/AT1G36060",3
"BP","GO:1902930","regulation of alcohol biosynthetic process","4/290","25/21384",0.16,11.7980689655172,6.33402086226392,0.000334744741055753,0.0277813968767194,0.0248570393107489,"AT3G52310/AT3G26790/AT4G18780/AT1G36060",4
"BP","GO:0001666","response to hypoxia","12/290","271/21384",0.044280442804428,3.26514823768927,4.40007568124597,0.000351012878716581,0.0277813968767194,0.0248570393107489,"AT5G41080/AT2G32210/AT5G27630/AT4G30280/AT3G25250/AT5G12030/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510/AT2G23270",12
NA,"GO:0002213","defense response to insect","5/290","46/21384",0.108695652173913,8.01499250374813,5.58448485925426,0.000385393602428044,0.0277813968767194,0.0248570393107489,"AT5G24770/AT2G29350/AT5G44585/AT5G44572/AT3G25180",5
"BP","GO:0036293","response to decreased oxygen levels","12/290","275/21384",0.0436363636363636,3.21765517241379,4.33990657740133,0.000400447724987727,0.0277813968767194,0.0248570393107489,"AT5G41080/AT2G32210/AT5G27630/AT4G30280/AT3G25250/AT5G12030/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510/AT2G23270",12
"BP","GO:0070482","response to oxygen levels","12/290","276/21384",0.0434782608695652,3.20599700149925,4.32503635290786,0.000413686776197669,0.0277813968767194,0.0248570393107489,"AT5G41080/AT2G32210/AT5G27630/AT4G30280/AT3G25250/AT5G12030/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510/AT2G23270",12
"BP","GO:0014070","response to organic cyclic compound","14/290","361/21384",0.038781163434903,2.85964275479989,4.17820384429588,0.000445575014070973,0.0277813968767194,0.0248570393107489,"AT5G13330/AT1G12160/AT1G74660/AT2G14610/AT1G15380/AT1G28480/AT4G31910/AT4G18980/AT2G18010/AT5G36925/AT5G40990/AT1G65510/AT1G14780/AT2G24850",14
"BP","GO:0071456","cellular response to hypoxia","11/290","241/21384",0.045643153526971,3.36563170696809,4.33038186136415,0.000477156595690568,0.0277813968767194,0.0248570393107489,"AT5G41080/AT2G32210/AT4G30280/AT3G25250/AT5G12030/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510/AT2G23270",11
"BP","GO:0036294","cellular response to decreased oxygen levels","11/290","243/21384",0.0452674897119342,3.33793103448276,4.29759925545204,0.000511300821555207,0.0277813968767194,0.0248570393107489,"AT5G41080/AT2G32210/AT4G30280/AT3G25250/AT5G12030/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510/AT2G23270",11
"BP","GO:0071453","cellular response to oxygen levels","11/290","243/21384",0.0452674897119342,3.33793103448276,4.29759925545204,0.000511300821555207,0.0277813968767194,0.0248570393107489,"AT5G41080/AT2G32210/AT4G30280/AT3G25250/AT5G12030/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510/AT2G23270",11
NA,"GO:0009688","abscisic acid biosynthetic process","4/290","28/21384",0.142857142857143,10.5339901477832,5.91898997583175,0.000524759718782478,0.0277813968767194,0.0248570393107489,"AT3G52310/AT3G26790/AT4G18780/AT1G36060",4
NA,"GO:0043289","apocarotenoid biosynthetic process","4/290","28/21384",0.142857142857143,10.5339901477832,5.91898997583175,0.000524759718782478,0.0277813968767194,0.0248570393107489,"AT3G52310/AT3G26790/AT4G18780/AT1G36060",4
"BP","GO:1902645","tertiary alcohol biosynthetic process","4/290","28/21384",0.142857142857143,10.5339901477832,5.91898997583175,0.000524759718782478,0.0277813968767194,0.0248570393107489,"AT3G52310/AT3G26790/AT4G18780/AT1G36060",4
"BP","GO:0019748","secondary metabolic process","11/290","255/21384",0.0431372549019608,3.18085192697769,4.10781280240198,0.00076192345152868,0.038096172576434,0.0340860491473357,"AT5G62480/AT3G52310/AT3G26790/AT5G60020/AT4G18780/AT2G30770/AT3G09270/AT2G29480/AT1G36060/AT4G12350/AT1G47400",11
"BP","GO:0009753","response to jasmonic acid","10/290","223/21384",0.0448430493273543,3.30663367867636,4.05991380051014,0.000978464604073631,0.0441694299011482,0.0395200162273431,"AT5G24770/AT5G13330/AT4G19810/AT1G12160/AT1G15380/AT1G28480/AT3G09940/AT5G36925/AT2G34600/AT2G24850",10
"BP","GO:0070542","response to fatty acid","10/290","227/21384",0.0440528634361234,3.24836700592435,3.99307010653128,0.00111917037968066,0.0441694299011482,0.0395200162273431,"AT5G24770/AT5G13330/AT4G19810/AT1G12160/AT1G15380/AT1G28480/AT3G09940/AT5G36925/AT2G34600/AT2G24850",10
"BP","GO:1901617","organic hydroxy compound biosynthetic process","10/290","227/21384",0.0440528634361234,3.24836700592435,3.99307010653128,0.00111917037968066,0.0441694299011482,0.0395200162273431,"AT2G34500/AT3G52310/AT3G26790/AT5G60760/AT4G18780/AT5G49330/AT4G31910/AT2G15490/AT1G36060/AT2G36790",10
"BP","GO:0042430","indole-containing compound metabolic process","6/290","86/21384",0.0697674418604651,5.14450681635926,4.51550698693411,0.00112018657118694,0.0441694299011482,0.0395200162273431,"AT1G76790/AT5G28237/AT1G05680/AT5G44585/AT4G35160/AT2G30770",6
"BP","GO:0043455","regulation of secondary metabolic process","5/290","58/21384",0.0862068965517241,6.35671819262782,4.78974000632384,0.00112877431969601,0.0441694299011482,0.0395200162273431,"AT3G52310/AT3G26790/AT4G18780/AT1G36060/AT4G12350",5
"BP","GO:0042435","indole-containing compound biosynthetic process","5/290","59/21384",0.0847457627118644,6.2489772063121,4.73380123736767,0.00121980912794531,0.045742842297949,0.040927806266586,"AT1G76790/AT5G28237/AT5G44585/AT4G35160/AT2G30770",5
