Col-0 replicate,Treatment,Random,Block,Block Rep,Leaf Damage,Chlorosis,Infiltrated with P.syringae,Fungus gnats,Perforation
21,Water-I,0.991165979,1,A,5,3,Y,N,N
7,GFP-I,0.440119328,1,B,7,5,Y,Y,N
5,GFP-M,0.262870031,1,C,6,5,N,Y,Y
13,Ctrl-HP-I,0.022270885,1,D,8,4,Y,Y,Y
18,EHA105-I,0.164760399,1,E,8,5,Y,N,Y
9,GFP-I,0.900479955,2,A,4,2,Y,N,Y
20,EHA105-I,0.43782393,2,B,5,5,Y,N,Y
12,Ctrl-HP-I,0.535004962,2,C,,,,,
3,GFP-M,0.824802884,2,D,2,0,N,N,Y
25,Water-I,0.008114739,2,E,5,3,Y,N,Y
6,GFP-I,0.386023957,3,A,6,3,Y,N,Y
22,Water-I,0.642863904,3,B,7,4,Y,N,Y
4,GFP-M,0.742144905,3,C,2,0,N,N,Y
16,EHA105-I,0.953357252,3,D,,,,,
14,Ctrl-HP-I,0.270018413,3,E,8,0,Y,Y,N
1,GFP-M,0.168864342,4,A,4,2,N,N,Y
11,Ctrl-HP-I,0.880885474,4,B,,,,,
23,Water-I,0.242866606,4,C,6,4,Y,N,Y
8,GFP-I,0.299400702,4,D,,,,,
17,EHA105-I,0.087442851,4,E,7,4,Y,N,Y
15,Ctrl-HP-I,0.343844262,5,A,,,,,
24,Water-I,0.402249033,5,B,6,6,Y,N,Y
19,EHA105-I,0.804896627,5,C,5,6,Y,N,Y
2,GFP-M,0.836708301,5,D,0,0,N,N,N
10,GFP-I,0.590165898,5,E,7,0,Y,Y,N
,,,,,,,,,
