Col-0 replicate,Treatment,Random,Block,Block Rep,0.dpi.Leaf Damage,0.dpi.Chlorosis,5.dpi.Leaf Damage,5.dpi.Chlorosis,Infiltrated with P.syringae,Fungus gnats,Perforation
46,Water-I,0.307302016,1,A,0,0,0,0,N,N,N
51,Water-I,0.220848702,1,B,0,0,1,1,N,N,N
4,GFP-M,0.210449434,1,C,1,0,1,2,Y,N,N
9,GFP-M,0.120382607,1,D,0,0,0,1,Y,N,N
41,EHA105-I,0.113938692,1,E,0,1,0,2,Y,N,N
20,GFP-I,0.080485948,1,F,0,0,1,1,Y,N,Y
28,Ctrl-HP-I,0.057376644,1,G,0,0,2,0,Y,N,N
14,GFP-I,0.052514116,1,H,,,NA,NA,NA,NA,NA
31,Ctrl-HP-I,0.047872555,1,I,1,0,1,0,Y,N,N
42,EHA105-I,0.025462232,1,J,0,0,0,0,Y,N,N
48,Water-I,0.620606736,2,A,0,0,0,0,N,N,N
21,GFP-I,0.474170902,2,B,1,0,0,0,N,N,N
54,Water-I,0.456658518,2,C,0,0,0,1,Y,N,N
18,GFP-I,0.451432827,2,D,0,0,1,3,Y,N,N
3,GFP-M,0.367215526,2,E,1,0,2,4,Y,Y,N
10,GFP-M,0.306738627,2,F,2,0,3,1,Y,N,Y
36,EHA105-I,0.203145637,2,G,0,0,0,3,Y,N,N
35,EHA105-I,0.160008207,2,H,0,0,3,0,,Y,N
25,Ctrl-HP-I,0.089894061,2,I,1,0,0,1,Y,N,N
26,Ctrl-HP-I,0.062238379,2,J,0,0,1,0,Y,N,N
45,Water-I,0.6715386,3,A,1,0,0,1,N,N,N
47,Water-I,0.644170123,3,B,2,0,1,0,N,N,N
15,GFP-I,0.59678533,3,C,0,0,5,0,Y,Y,N
13,GFP-I,0.527605977,3,D,2,1,3,3,Y,N,Y
2,GFP-M,0.468965345,3,E,1,0,3,2,Y,Y,N
11,GFP-M,0.392405317,3,F,0,0,1,2,Y,N,N
38,EHA105-I,0.363141766,3,G,0,0,2,2,Y,N,Y
33,Ctrl-HP-I,0.349295382,3,H,1,0,5,4,Y,Y,N
44,EHA105-I,0.289362379,3,I,0,0,5,2,Y,Y,Y
23,Ctrl-HP-I,0.185378729,3,J,0,0,7,1,Y,Y,N
7,GFP-M,0.761088122,4,A,1,0,0,0,N,N,N
24,Ctrl-HP-I,0.735822294,4,B,0,0,0,0,N,N,N
17,GFP-I,0.735483229,4,C,1,0,4,0,Y,N,Y
53,Water-I,0.73303639,4,D,2,1,6,0,Y,Y,Y
49,Water-I,0.69428506,4,E,0,0,0,1,Y,N,N
8,GFP-M,0.680727642,4,F,0,0,3,2,Y,N,Y
29,Ctrl-HP-I,0.672164033,4,G,0,0,0,2,Y,N,N
40,EHA105-I,0.663825015,4,H,0,0,2,1,Y,Y,N
22,GFP-I,0.598243243,4,I,1,0,1,7,Y,N,N
39,EHA105-I,0.512367378,4,J,0,0,0,3,Y,N,N
32,Ctrl-HP-I,0.896724963,5,A,1,3,0,3,N,N,N
52,Water-I,0.84441383,5,B,1,0,1,0,N,N,N
5,GFP-M,0.841433545,5,C,0,0,0,0,Y,N,N
30,Ctrl-HP-I,0.835603338,5,D,0,0,1,0,Y,N,N
55,Water-I,0.79464357,5,E,1,0,0,1,Y,N,N
16,GFP-I,0.784860841,5,F,0,0,8,0,Y,N,N
12,GFP-I,0.783832882,5,G,0,0,1,0,Y,N,N
6,GFP-M,0.766946508,5,H,2,1,0,0,Y,N,N
37,EHA105-I,0.690563263,5,I,0,0,2,5,Y,N,Y
43,EHA105-I,0.690433164,5,J,0,0,0,2,Y,N,N
27,Ctrl-HP-I,0.952110492,6,A,2,0,3,2,N,N,Y
19,GFP-I,0.94342853,6,B,1,0,2,3,Y,N,Y
1,GFP-M,0.93968396,6,C,0,0,4,1,Y,Y,Y
50,Water-I,0.864831968,6,D,0,0,2,1,Y,N,N
34,EHA105-I,0.842749286,6,E,0,0,1,2,Y,N,N
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
