Col-0  Rep,Treatment,Random,Block,Total Leaves,Rotted Leaves,Chlorotic leaves,% of leaf rot,% Chlorosis
13,Mock,0.013228237,1A,10,10,0,100%,0%
3,GFP-Only,0.186862108,1B,10,9,1,90%,10%
6,P.syringae-Only,0.301385692,1C,9,0,0,0%,0%
9,Both,0.761978528,1D,11,9,1,82%,9%
1,GFP-Only,0.212624147,2A,9,9,0,100%,0%
5,P.syringae-Only,0.354003823,2B,12,0,0,0%,0%
15,Mock,0.44496373,2C,11,9,2,82%,18%
10,Both,0.828831587,2D,9,7,0,78%,0%
4,GFP-Only,0.251129196,3A,12,11,0,92%,0%
7,P.syringae-Only,0.708820509,3B,11,0,0,0%,0%
14,Mock,0.800862651,3C,9,9,0,100%,0%
11,Both,0.883547121,3D,11,10,0,91%,0%
2,GFP-Only,0.287785269,4A,9,9,0,100%,0%
8,P.syringae-Only,0.789734837,4B,10,0,0,0%,0%
16,Mock,0.820275151,4C,10,9,1,90%,10%
12,Both,0.914041939,4D,10,9,0,90%,0%
