Col-0 replicate,Treatment,Random,Block,Block Rep,Agro: 1.dpi.Leaf Damage,Agro: 1.dpi.Chlorosis,Agro: 5.dpi.Leaf Damage,Agro: 5.dpi.Chlorosis,PS: 0.dpi.Leaf Damage,PS: 0.dpi.Chlorosis,PS: 5.dpi.Leaf Damage,PS: 5.dpi.Chlorosis,Infiltrated with P.syringae,Fungus gnats,Perforation
1,GFP,0.658165773,4,B,1,1,5,2,,,,,,,
2,GFP,0.464928167,5,X,1,1,5,1,,,,,,,
3,GFP,0.888691267,5,F,1,1,7,1,,,,,,,
4,GFP,0.641442474,4,A,1,1,7,2,,,,,,,
5,GFP,0.453708673,2,J,1,1,8,2,,,,,,,
6,GFP,0.488462814,3,B,1,1,7,2,,,,,,,
7,GFP,0.374129137,2,F,1,1,8,1,,,,,,,
8,GFP,0.69752338,4,D,1,1,7,1,,,,,,,
9,GFP,0.530604953,4,X,1,1,5,2,,,,,,,
10,GFP,0.038604489,1,B,1,1,9,5,,,,,,,
11,GFP,0.842976216,5,B,1,1,10,9,,,,,,,
12,GFP,0.526477752,3,D,1,1,4,2,,,,,,,
13,GFP,0.086962491,1,F,1,1,6,6,,,,,,,
14,GFP,0.948302952,5,I,1,1,5,4,,,,,,,
15,GFP,0.548455257,3,F,1,1,8,8,,,,,,,
16,GFP,0.19956316,1,I,1,1,7,5,,,,,,,
17,GFP,0.513884593,3,C,1,1,10,8,,,,,,,
18,GFP,0.75223239,4,H,1,1,6,5,,,,,,,
19,GFP,0.358225257,2,E,1,1,8,10,,,,,,,
20,GFP,0.810680667,4,J,1,1,8,9,,,,,,,
21,Ctrl-HP,0.097724581,1,G,1,1,10,7,,,,,,,
22,Ctrl-HP,0.283383981,2,D,1,1,8,7,,,,,,,
23,Ctrl-HP,0.597350374,3,I,1,1,9,10,,,,,,,
24,Ctrl-HP,0.902693841,5,G,1,1,9,10,,,,,,,
25,Ctrl-HP,0.222173428,2,B,1,1,9,6,,,,,,,
26,Ctrl-HP,0.834954711,5,A,1,1,8,10,,,,,,,
27,Ctrl-HP,0.790427402,4,I,1,1,7,8,,,,,,,
28,Ctrl-HP,0.10988618,1,H,1,1,9,10,,,,,,,
29,Ctrl-HP,0.658261872,4,C,1,1,7,6,,,,,,,
30,Ctrl-HP,0.590977206,3,G,1,1,9,10,,,,,,,
31,EHA105,0.394544284,2,G,1,1,7,8,,,,,,,
32,EHA105,0.878014185,5,E,1,1,5,2,,,,,,,
33,EHA105,0.870988127,5,C,1,1,8,10,,,,,,,
34,EHA105,0.084900024,1,E,1,1,8,9,,,,,,,
35,EHA105,0.054450166,1,D,1,1,9,10,,,,,,,
36,EHA105,0.212108598,1,J,1,1,7,8,,,,,,,
37,EHA105,0.049269772,1,C,1,1,8,7,,,,,,,
38,EHA105,0.219416234,2,A,1,1,8,7,,,,,,,
39,EHA105,0.963040334,5,J,1,1,6,8,,,,,,,
40,EHA105,0.871225635,5,D,1,1,7,7,,,,,,,
41,Water,0.402920627,2,I,1,1,10,8,,,,,,,
42,Water,0.924617432,5,H,1,1,6,3,,,,,,,
43,Water,0.602993832,3,J,1,1,5,2,,,,,,,
44,Water,0.723431528,4,F,1,1,6,7,,,,,,,
45,Water,0.003076801,1,A,1,1,7,3,,,,,,,
46,Water,0.735366975,4,G,1,1,6,2,,,,,,,
47,Water,0.701622598,4,E,1,1,NA,NA,,,,,,,
48,Water,0.247122905,2,C,1,1,4,1,,,,,,,
49,Water,0.59377153,3,H,1,1,5,5,,,,,,,
50,Water,0.39995911,2,H,1,1,5,2,,,,,,,
