Col-0 replicate,Treatment,Random,Block,Block Rep,Agro: 1.dpi.Leaf Damage,Agro: 1.dpi.Chlorosis,Agro: 5.dpi.Leaf Damage,Agro: 5.dpi.Chlorosis,PS: 0.dpi.Leaf Damage,PS: 0.dpi.Chlorosis,PS: 5.dpi.Leaf Damage,PS: 5.dpi.Chlorosis,Infiltrated with P.syringae,Fungus gnats,Perforation,Leaf.Damage.Difference,Chlorosis.Difference
45,Water.I,0.003076801,1,A,1,1,7,3,7,3,10,7,Y,N,Y,3,4
10,GFP-M,0.038604489,1,B,1,1,9,5,9,5,10,10,N,N,Y,1,5
34,EHA105-I,0.084900024,1,E,1,1,8,9,8,9,10,10,Y,N,Y,2,1
35,EHA105-I,0.054450166,1,D,1,1,9,10,9,10,10,10,Y,N,Y,1,0
36,EHA105-I,0.212108598,1,J,1,1,7,8,7,8,9,9,Y,N,Y,2,1
38,EHA105-I,0.219416234,2,A,1,1,8,7,8,7,8,9,Y,N,Y,0,2
48,Water.I,0.247122905,2,C,1,1,4,1,4,1,6,10,Y,N,Y,2,9
7,GFP-M,0.374129137,2,F,1,1,8,1,8,1,10,1,N,N,Y,2,0
31,EHA105-I,0.394544284,2,G,1,1,7,8,7,8,7,9,Y,N,Y,0,1
50,Water.I,0.39995911,2,H,1,1,5,2,5,2,6,8,Y,N,Y,1,6
6,GFP-M,0.488462814,3,B,1,1,7,2,7,2,9,3,N,N,Y,2,1
12,GFP-I,0.526477752,3,D,1,1,4,2,4,2,5,5,Y,N,Y,1,3
15,GFP-I,0.548455257,3,F,1,1,8,8,8,8,10,8,Y,N,Y,2,0
49,Water.I,0.59377153,3,H,1,1,5,5,5,5,7,8,Y,N,Y,2,3
43,Water.I,0.602993832,3,J,1,1,5,2,5,2,5,7,Y,N,Y,0,5
4,GFP-M,0.641442474,4,A,1,1,7,2,7,2,8,2,N,N,Y,1,0
1,GFP-M,0.658165773,4,B,1,1,5,2,5,2,6,2,N,N,Y,1,0
8,GFP-M,0.69752338,4,D,1,1,7,1,7,2,8,2,N,N,Y,1,0
18,GFP-I,0.75223239,4,H,1,1,6,5,6,5,7,6,Y,N,Y,1,1
9,GFP-M,0.530604953,4,X,1,1,5,2,5,2,6,2,N,N,Y,1,0
40,EHA105-I,0.871225635,5,D,1,1,7,7,7,7,8,9,Y,N,Y,1,2
32,EHA105-I,0.878014185,5,E,1,1,5,2,5,2,6,3,Y,N,Y,1,1
42,Water.I,0.924617432,5,H,1,1,6,3,6,3,7,4,Y,N,N,1,1
14,GFP-I,0.948302952,5,I,1,1,5,4,5,3,7,5,Y,N,Y,2,2
2,GFP-M,0.464928167,5,X,1,1,5,1,5,1,7,2,N,N,Y,2,1
