Genotype,block,treatment ,number,15/7 week 4,22/7 week 5,5/8 week 7,12/8 week 8
Col0,1,I,1,3,5,5,5
FP34-P1,1,I,2,1,1,1,2
GG2-272,1,I,5,1,1,1,1
FP6-P1,1,I,7,1,1,1,1
FP6-P1,1,M,9,1,1,2,2
Col0,1,M,10,1,1,2,2
GG2-272,1,M,13,1,1,1,1
FP1-P1,1,M,15,1,1,1,1
GG1-64,2,I,17,1,1,1,3
Col0,2,I,19,1,2,3,4
FP4-P1,2,I,21,1,1,1,1
Col0,2,M,25,1,1,1,1
FP4-P1,2,M,27,1,1,1,2
GG1-64,2,M,30,1,1,1,1
FP34-P1,2,M,32,1,1,1,1
Col0,3,I,33,1,2,5,5
GG1-64,3,I,36,1,1,5,5
FP4-P1,3,I,37,1,1,1,1
FP6-P1,3,I,39,1,1,1,1
GG2-272,3,M,41,1,1,1,1
FP1-P1,3,M,44,1,1,1,1
Col0,3,M,45,1,1,1,1
FP4-P1,3,M,48,1,1,1,1
GG1-64,4,I,54,1,1,1,1
FP6-P4,4,I,55,1,2,3,4
Col0,4,I,56,3,3,4,5
Col0,4,M,57,1,1,1,1
GG1-64,4,M,58,1,1,1,1
FP6-P4,4,M,59,1,1,1,1
FP34-P1,4,M,61,1,1,1,1
FP6-P1,4,M,63,1,1,1,1
FP1-P1,5,I,65,1,1,3,4
GG1-64,5,I,66,1,1,1,1
Col0,5,I,69,1,2,3,4
FP34-P1,5,I,72,1,1,1,1
FP34-P1,5,M,73,1,1,1,1
GG2-272,5,M,75,1,1,1,1
FP4-P1,5,M,77,1,1,1,1
Col0,5,M,78,1,1,1,1
FP6-P4,6,I,83,1,1,1,1
GG2-272,6,I,85,3,5,5,5
Col0,6,I,86,3,5,5,5
FP6-P4,6,M,89,1,1,1,1
FP1-P1,6,M,91,1,1,1,1
FP34-P1,6,M,93,1,1,1,1
Col0,6,M,94,1,1,2,2
FP4-P1,6,M,96,1,1,1,1
Col0,7,I,98,3,4,5,5
GG2-272,7,I,99,1,1,1,1
FP4-P1,7,I,103,1,1,1,1
GG1-64,7,M,105,1,1,1,1
Col0,7,M,107,1,1,1,1
FP6-P4,7,M,108,1,1,1,1
FP6-P1,7,M,110,1,1,1,1
GG2-272,7,M,111,1,1,1,1
FP1-P1,7,M,112,1,1,1,1
GG1-64,8,I,113,1,1,1,1
Col0,8,I,114,1,2,3,3
FP34-P1,8,I,115,1,1,1,1
FP1-P1,8,I,116,1,1,3,3
FP6-P4,8,I,117,1,1,1,1
FP6-P4,8,M,121,1,1,1,1
GG2-272,8,M,122,1,1,1,1
FP6-P1,8,M,124,1,1,1,1
FP4-P1,8,M,125,1,1,1,1
FP34-P1,8,M,126,1,1,1,1
Col0,8,M,128,1,1,1,1
FP6-P4,9,I,129,1,2,4,4
Col0,9,I,131,3,3,3,4
GG2-272,9,I,132,1,1,1,1
FP1-P1,9,I,133,1,1,1,1
Col0,9,M,137,1,1,1,1
FP6-P4,10,I,149,1,1,1,1
Col0,10,I,152,1,2,4,4
Col0,10,M,156,1,1,1,1
FP34-P1,10,M,158,1,1,1,1
GG2-272,10,M,159,1,1,1,1
Col0,11,I,163,4,5,5,5
GG1-64,11,I,168,1,1,1,1
GG2-272,11,M,172,1,1,1,1
Col0,11,M,173,1,1,1,1
FP6-P1,11,M,174,1,1,1,1
FP34-P1,11,M,176,1,1,1,1
Col0,12,I,177,1,2,3,4
GG2-272,12,I,183,1,1,1,1
FP6-P1,12,M,185,1,1,1,1
Col0,12,M,190,1,1,1,2
GG1-64,13,I,194,1,1,1,1
Col0,13,I,196,1,2,3,4
FP6-P4,13,M,203,1,1,1,1
GG1-64,13,M,207,1,1,1,1
Col0,13,M,208,1,1,1,1
FP34-P1,14,I,210,1,1,1,1
GG1-64,14,I,213,1,1,1,1
FP6-P1,14,I,214,1,1,1,1
FP1-P1,14,I,216,1,1,1,2
GG2-272,14,M,217,1,1,1,1
FP34-P1,14,M,219,1,1,1,1
FP6-P1,14,M,221,1,1,1,1
FP6-P4,15,I,225,1,1,5,5
FP1-P1,15,I,227,1,1,1,1
FP4-P1,15,I,229,1,1,1,1
Col0,15,I,230,1,2,3,4
GG1-64,15,I,231,1,1,1,1
Col0,15,M,238,1,1,1,1
GG2-272,15,M,239,1,1,1,1
GG1-64,16,I,243,1,1,1,1
Col0,16,I,246,1,1,3,3
FP1-P1,16,I,247,1,1,1,1
Col0,16,M,256,1,1,1,1
FP4-P1,17,I,257,1,1,1,1
FP1-P1,17,I,259,1,1,3,4
FP34-P1,17,I,261,1,1,4,5
Col0,17,I,262,1,1,1,1
FP6-P4,17,M,269,1,1,1,2
Col0,17,M,270,1,1,1,2
FP34-P1,17,M,271,1,1,1,1
GG2-272,17,M,272,1,1,1,1
Col0,18,I,274,1,2,3,4
FP4-P1,18,M,282,1,1,1,1
FP34-P1,18,M,283,1,1,1,1
GG2-272,18,M,284,1,1,1,1
Col0,18,M,286,1,1,1,1
GG1-64,19,I,289,1,3,3,4
Col0,19,M,302,1,1,1,1
