"","Result_Genotype","Result_Type","Result_Treatment","Result_AUDPC"
"evaluation",FP6-P1,M,1,42
"evaluation",Col0,M,1,42
"evaluation",GG2-272,M,1,28
"evaluation",FP1-P1,M,1,28
"evaluation",Col0,I,1,28
"evaluation",FP34-P1,I,1,28
"evaluation",GG2-272,I,1,28
"evaluation",FP6-P1,I,1,28
"evaluation",Col0,M,2,28
"evaluation",FP4-P1,M,2,31.5
"evaluation",GG1-64,M,2,28
"evaluation",FP34-P1,M,2,28
"evaluation",GG1-64,I,2,28
"evaluation",Col0,I,2,28
"evaluation",FP4-P1,I,2,28
"evaluation",GG2-272,M,3,28
"evaluation",FP1-P1,M,3,28
"evaluation",Col0,M,3,28
"evaluation",FP4-P1,M,3,28
"evaluation",Col0,I,3,28
"evaluation",GG1-64,I,3,28
"evaluation",FP4-P1,I,3,28
"evaluation",FP6-P1,I,3,28
"evaluation",Col0,M,4,28
"evaluation",GG1-64,M,4,28
"evaluation",FP6-P4,M,4,28
"evaluation",FP34-P1,M,4,28
"evaluation",FP6-P1,M,4,28
"evaluation",GG1-64,I,4,28
"evaluation",FP6-P4,I,4,28
"evaluation",Col0,I,4,28
"evaluation",FP34-P1,M,5,28
"evaluation",GG2-272,M,5,28
"evaluation",FP4-P1,M,5,28
"evaluation",Col0,M,5,28
"evaluation",FP1-P1,I,5,28
"evaluation",GG1-64,I,5,28
"evaluation",Col0,I,5,28
"evaluation",FP34-P1,I,5,28
"evaluation",FP6-P4,M,6,28
"evaluation",FP1-P1,M,6,28
"evaluation",FP34-P1,M,6,28
"evaluation",Col0,M,6,42
"evaluation",FP4-P1,M,6,28
"evaluation",FP6-P4,I,6,28
"evaluation",GG2-272,I,6,28
"evaluation",Col0,I,6,28
"evaluation",GG1-64,M,7,28
"evaluation",Col0,M,7,28
"evaluation",FP6-P4,M,7,28
"evaluation",FP6-P1,M,7,28
"evaluation",GG2-272,M,7,28
"evaluation",FP1-P1,M,7,28
"evaluation",Col0,I,7,28
"evaluation",GG2-272,I,7,28
"evaluation",FP4-P1,I,7,28
"evaluation",FP6-P4,M,8,28
"evaluation",GG2-272,M,8,28
"evaluation",FP6-P1,M,8,28
"evaluation",FP4-P1,M,8,28
"evaluation",FP34-P1,M,8,28
"evaluation",Col0,M,8,28
"evaluation",GG1-64,I,8,28
"evaluation",Col0,I,8,28
"evaluation",FP34-P1,I,8,28
"evaluation",FP1-P1,I,8,28
"evaluation",FP6-P4,I,8,28
"evaluation",Col0,M,9,28
"evaluation",FP6-P4,I,9,28
"evaluation",Col0,I,9,28
"evaluation",GG2-272,I,9,28
"evaluation",FP1-P1,I,9,28
"evaluation",Col0,M,10,28
"evaluation",FP34-P1,M,10,28
"evaluation",GG2-272,M,10,28
"evaluation",FP6-P4,I,10,28
"evaluation",Col0,I,10,28
"evaluation",GG2-272,M,11,28
"evaluation",Col0,M,11,28
"evaluation",FP6-P1,M,11,28
"evaluation",FP34-P1,M,11,28
"evaluation",Col0,I,11,28
"evaluation",GG1-64,I,11,28
"evaluation",FP6-P1,M,12,28
"evaluation",Col0,M,12,31.5
"evaluation",Col0,I,12,31.5
"evaluation",GG2-272,I,12,31.5
"evaluation",FP6-P4,M,13,28
"evaluation",GG1-64,M,13,28
"evaluation",Col0,M,13,28
"evaluation",GG1-64,I,13,28
"evaluation",Col0,I,13,28
"evaluation",GG2-272,M,14,28
"evaluation",FP34-P1,M,14,28
"evaluation",FP6-P1,M,14,28
"evaluation",FP34-P1,I,14,28
"evaluation",GG1-64,I,14,28
"evaluation",FP6-P1,I,14,28
"evaluation",FP1-P1,I,14,28
"evaluation",Col0,M,15,28
"evaluation",GG2-272,M,15,28
"evaluation",FP6-P4,I,15,28
"evaluation",FP1-P1,I,15,28
"evaluation",FP4-P1,I,15,28
"evaluation",Col0,I,15,28
"evaluation",GG1-64,I,15,28
"evaluation",Col0,M,16,28
"evaluation",GG1-64,I,16,28
"evaluation",Col0,I,16,28
"evaluation",FP1-P1,I,16,28
"evaluation",FP6-P4,M,17,31.5
"evaluation",Col0,M,17,31.5
"evaluation",FP34-P1,M,17,28
"evaluation",GG2-272,M,17,28
"evaluation",FP4-P1,I,17,28
"evaluation",FP1-P1,I,17,28
"evaluation",FP34-P1,I,17,28
"evaluation",Col0,I,17,28
"evaluation",FP4-P1,M,18,28
"evaluation",FP34-P1,M,18,28
"evaluation",GG2-272,M,18,28
"evaluation",Col0,M,18,28
"evaluation",Col0,I,18,28
"evaluation",Col0,M,19,28
"evaluation",GG1-64,I,19,28
