"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0045595","regulation of cell differentiation","8/347","67/21384",0.119402985074627,7.35825196782657,6.694516942283,1.25708943849288e-05,0.00401856879929292,0.00362577636026429,"AT2G30420/AT1G69588/AT3G23090/AT1G70895/AT2G46410/AT1G05065/AT2G30432/AT4G39410",8
"BP","GO:0010306","rhamnogalacturonan II biosynthetic process","4/347","10/21384",0.4,24.650144092219,9.60722673692409,1.3248029008658e-05,0.00401856879929292,0.00362577636026429,"AT4G37450/AT2G23130/AT1G56550/AT1G68725",4
"BP","GO:0010396","rhamnogalacturonan II metabolic process","4/347","10/21384",0.4,24.650144092219,9.60722673692409,1.3248029008658e-05,0.00401856879929292,0.00362577636026429,"AT4G37450/AT2G23130/AT1G56550/AT1G68725",4
"BP","GO:0052325","cell wall pectin biosynthetic process","5/347","21/21384",0.238095238095238,14.672704816797,8.05082000055182,1.79626705695908e-05,0.0040865075545819,0.00368707448533706,"AT4G37450/AT2G23130/AT1G56550/AT5G41040/AT1G68725",5
"BP","GO:0042546","cell wall biogenesis","15/347","260/21384",0.0576923076923077,3.55530924407005,5.32413688209422,2.48358073627734e-05,0.00452011694002475,0.00407830099851857,"AT4G37450/AT2G23130/AT4G36160/AT2G36870/AT2G38080/AT2G18060/AT4G30290/AT1G02730/AT4G22680/AT5G67210/AT1G56550/AT1G01200/AT2G37090/AT5G41040/AT1G68725",15
"BP","GO:0007017","microtubule-based process","14/347","245/21384",0.0571428571428571,3.52144915603129,5.09798073452922,5.11836399752447e-05,0.00643614295085899,0.00580704627145172,"AT1G75780/AT3G44730/AT1G18550/AT3G10310/AT4G05190/AT3G06030/AT5G67270/AT3G23090/AT3G20150/AT5G02370/AT5G15510/AT3G23670/AT4G39403/AT5G15600",14
"BP","GO:0010087","phloem or xylem histogenesis","10/347","133/21384",0.075187969924812,4.63348573162012,5.39842094409494,6.42274890679478e-05,0.00643614295085899,0.00580704627145172,"AT4G36160/AT2G18060/AT5G14510/AT4G34410/AT2G44830/AT2G13820/AT1G69588/AT1G70895/AT5G62380/AT1G05065",10
"BP","GO:0009733","response to auxin","18/347","385/21384",0.0467532467532468,2.88118567311651,4.78376539013065,6.45082439698099e-05,0.00643614295085899,0.00580704627145172,"AT2G21200/AT3G53250/AT1G31710/AT4G34810/AT3G62100/AT2G01200/AT4G34410/AT4G30290/AT1G69588/AT3G09870/AT5G62380/AT4G30430/AT3G03830/AT1G74660/AT1G75580/AT4G39403/AT1G31690/AT1G76530",18
"BP","GO:0007140","male meiotic nuclear division","5/347","27/21384",0.185185185185185,11.4121037463977,6.95276253825512,6.57845639720883e-05,0.00643614295085899,0.00580704627145172,"AT1G50240/AT5G56580/AT1G77390/AT1G14630/AT3G23670",5
"BP","GO:0007018","microtubule-based movement","7/347","63/21384",0.111111111111111,6.84726224783862,5.96933859481256,7.0726845613835e-05,0.00643614295085899,0.00580704627145172,"AT3G44730/AT1G18550/AT3G10310/AT4G05190/AT3G20150/AT5G02370/AT3G23670",7
"BP","GO:0009832","plant-type cell wall biogenesis","12/347","202/21384",0.0594059405940594,3.66091248894342,4.88011376808124,0.000121257041563525,0.010031264347528,0.00905076482483726,"AT4G37450/AT2G23130/AT4G36160/AT2G38080/AT2G18060/AT1G02730/AT4G22680/AT5G67210/AT1G56550/AT2G37090/AT5G41040/AT1G68725",12
"BP","GO:0045165","cell fate commitment","8/347","100/21384",0.08,4.9300288184438,5.0591349223898,0.000225728214703179,0.0171177229483244,0.0154445620586386,"AT2G30420/AT1G24260/AT1G69588/AT1G70895/AT4G00480/AT2G46410/AT1G05835/AT1G05065",8
"BP","GO:0044036","cell wall macromolecule metabolic process","11/347","194/21384",0.056701030927835,3.49422145637125,4.48205879659197,0.0003448533761332,0.024139736329324,0.0217802132294653,"AT4G37450/AT1G27120/AT2G23130/AT2G36870/AT4G30290/AT5G62380/AT5G67210/AT1G56550/AT2G37090/AT5G41040/AT1G68725",11
"BP","GO:0010383","cell wall polysaccharide metabolic process","10/347","167/21384",0.0598802395209581,3.69014133117051,4.48227498037428,0.000414411511922569,0.026936748274967,0.0243038330300454,"AT4G37450/AT2G23130/AT2G36870/AT4G30290/AT5G62380/AT5G67210/AT1G56550/AT2G37090/AT5G41040/AT1G68725",10
"BP","GO:0045168","cell-cell signaling involved in cell fate commitment","5/347","41/21384",0.121951219512195,7.5152878329936,5.36296490344571,0.000507050244095724,0.0307610481418073,0.0277543291505028,"AT2G30420/AT1G69588/AT1G70895/AT4G00480/AT1G05065",5
"BP","GO:0052546","cell wall pectin metabolic process","5/347","43/21384",0.116279069767442,7.16573956169158,5.19779531270654,0.000634283596455917,0.0339650268869953,0.030645137040898,"AT4G37450/AT2G23130/AT1G56550/AT5G41040/AT1G68725",5
"BP","GO:0048759","xylem vessel member cell differentiation","3/347","11/21384",0.272727272727273,16.806916426513,6.73469463537306,0.000634511491295517,0.0339650268869953,0.030645137040898,"AT4G36160/AT2G18060/AT5G62380",3
"CC","GO:0005871","kinesin complex","5/489","26/26913",0.192307692307692,10.5840018876829,6.65105481731087,9.30918147445151e-05,0.0110440290699122,0.0102522275659359,"AT1G18550/AT4G05190/AT3G20150/AT5G02370/AT3G23670",5
"CC","GO:0005874","microtubule","12/489","196/26913",0.0612244897959184,3.36960060097659,4.52936665021377,0.00026461019242295,0.0110440290699122,0.0102522275659359,"AT1G75780/AT1G18550/AT4G05190/AT5G67270/AT3G23090/AT1G21810/AT3G20150/AT5G02370/AT5G15510/AT3G23670/AT2G07170/AT5G15600",12
"CC","GO:0015630","microtubule cytoskeleton","15/489","296/26913",0.0506756756756757,2.78902752445697,4.21028467998221,0.000374845095020018,0.0110440290699122,0.0102522275659359,"AT1G75780/AT3G44730/AT1G18550/AT3G10310/AT4G05190/AT5G67270/AT3G23090/AT1G21810/AT3G20150/AT5G02370/AT1G76310/AT5G15510/AT3G23670/AT2G07170/AT5G15600",15
