,group,FDR,nGenes,Pathway size,Fold enriched,Pathway,URL,Genes
11,Downregulated,1.24E-04,36,1161,2.5570699159869,Lipid metabolic process ,http://amigo.geneontology.org/amigo/term/GO:0006629,"AT1G17050, AT1G27480, AT1G78490, AT2G26870, AT2G29090, AT2G34490, AT3G05630, AT4G16690, AT4G32810, AT4G36380, AT4G37150, AT5G24150, AT5G58310, AT5G58770, AT1G54570, AT2G36800, AT1G04220, AT1G04580, AT1G06520, AT1G28570, AT1G28610, AT1G49430, AT1G49740, AT1G58520, AT2G11810, AT2G15090, AT2G22240, AT3G48460, AT4G00400, AT4G27030, AT4G34250, AT5G24155, AT4G32770, AT2G33380, AT4G32980, AT3G03480"
12,Downregulated,1.24E-04,20,394,3.90663459386887,Organic hydroxy compound metabolic process ,http://amigo.geneontology.org/amigo/term/GO:1901615,"AT1G78490, AT2G22240, AT2G29090, AT2G34490, AT4G16690, AT4G36380, AT4G37150, AT5G24150, AT5G58310, AT5G58770, AT1G54570, AT2G36800, AT3G23410, AT4G10500, AT4G32770, AT1G04580, AT1G64970, AT5G24155, AT5G63580, AT2G33380"
13,Downregulated,6.3E-04,57,2170,1.85753917515189,Response to abiotic stimulus ,http://amigo.geneontology.org/amigo/term/GO:0009628,"AT1G07150, AT2G36800, AT3G46090, AT5G20150, AT5G45630, AT2G21320, AT2G31380, AT3G09260, AT3G17609, AT5G11260, AT5G23730, AT5G52250, AT5G58770, AT5G63580, AT2G42540, AT4G32980, AT5G43630, AT3G15354, AT3G52740, AT4G34550, AT5G24120, AT1G02820, AT1G04220, AT1G04580, AT1G23740, AT1G79900, AT2G29090, AT2G33380, AT2G46680, AT3G11410, AT3G19580, AT3G21890, AT3G22840, AT3G23920, AT4G02280, AT4G25470, AT4G32770, AT4G34250, AT5G01820, AT5G23750, AT5G45890, AT5G59320, AT1G01060, AT1G78290, AT2G46830, AT1G51140, AT1G52890, AT1G73870, AT2G25090, AT2G25625, AT3G04070, AT3G09600, AT3G28270, AT4G00050, AT5G25110, AT5G57050, AT5G59920"
14,Downregulated,1.61E-03,28,773,2.5337946405432,Response to light stimulus ,http://amigo.geneontology.org/amigo/term/GO:0009416,"AT2G21320, AT2G31380, AT3G17609, AT5G11260, AT5G23730, AT5G52250, AT5G63580, AT4G32980, AT5G43630, AT3G15354, AT3G52740, AT4G34550, AT5G24120, AT2G29090, AT2G42540, AT3G21890, AT3G22840, AT4G32770, AT4G34250, AT5G45890, AT1G01060, AT2G46830, AT1G51140, AT1G73870, AT3G09600, AT4G00050, AT5G57050, AT5G59920"
15,Downregulated,1.67E-03,11,142,5.14421080827697,Circadian rhythm ,http://amigo.geneontology.org/amigo/term/GO:0007623,"AT5G64170, AT3G12320, AT2G46830, AT3G21890, AT4G15248, AT5G17300, AT5G37260, AT1G01060, AT2G42540, AT3G09600, AT5G11260"
16,Downregulated,1.67E-03,28,796,2.45407196375457,Response to radiation ,http://amigo.geneontology.org/amigo/term/GO:0009314,"AT2G21320, AT2G31380, AT3G17609, AT5G11260, AT5G23730, AT5G52250, AT5G63580, AT4G32980, AT5G43630, AT3G15354, AT3G52740, AT4G34550, AT5G24120, AT2G29090, AT2G42540, AT3G21890, AT3G22840, AT4G32770, AT4G34250, AT5G45890, AT1G01060, AT2G46830, AT1G51140, AT1G73870, AT3G09600, AT4G00050, AT5G57050, AT5G59920"
17,Downregulated,1.67E-03,14,239,4.07710592160133,Response to red or far red light ,http://amigo.geneontology.org/amigo/term/GO:0009639,"AT2G21320, AT2G31380, AT3G17609, AT5G11260, AT4G32980, AT3G15354, AT4G34550, AT2G29090, AT2G42540, AT3G22840, AT5G24120, AT5G52250, AT1G73870, AT4G00050"
18,Downregulated,1.72E-03,13,244,4.27125382262997,Organic hydroxy compound biosynthetic process ,http://amigo.geneontology.org/amigo/term/GO:1901617,"AT1G78490, AT2G22240, AT4G36380, AT5G24150, AT5G58770, AT4G32770, AT1G04580, AT1G64970, AT2G34490, AT5G24155, AT5G63580, AT1G54570, AT2G33380"
19,Downregulated,2.19E-03,11,151,4.86039228092376,Rhythmic process ,http://amigo.geneontology.org/amigo/term/GO:0048511,"AT5G64170, AT1G01060, AT2G46830, AT3G09600, AT3G12320, AT5G17300, AT5G37260, AT3G21890, AT4G15248, AT2G42540, AT5G11260"
20,Downregulated,3.35E-03,41,1633,1.92864985383071,Post-embryonic development ,http://amigo.geneontology.org/amigo/term/GO:0009791,"AT2G21320, AT2G31380, AT3G02380, AT3G17609, AT5G11260, AT5G24380, AT2G45210, AT4G32980, AT3G15354, AT4G34550, AT5G23730, AT5G52250, AT5G62430, AT1G11190, AT3G19580, AT5G45890, AT1G01060, AT1G60190, AT2G22240, AT2G46830, AT4G00050, AT4G36380, AT1G07430, AT1G49430, AT1G51140, AT1G52880, AT1G69490, AT2G29090, AT2G46870, AT3G04070, AT3G09600, AT3G10420, AT3G11580, AT3G21890, AT3G22840, AT4G02280, AT4G13540, AT4G15248, AT5G37260, AT5G46950, AT5G46960"
