,group,FDR,nGenes,Pathway size,Fold enriched,Pathway,URL,Genes
1,Upregulated,1.8E-02,49,3953,1.65810539067232,Response to stress ,http://amigo.geneontology.org/amigo/term/GO:0006950,"AT3G25250, AT1G61370, AT1G65970, AT2G07690, AT2G16900, AT3G26680, AT4G02060, AT4G21390, AT4G31970, AT5G44635, AT5G60300, AT5G65600, AT2G21660, AT3G23250, AT1G15520, AT1G17750, AT1G61560, AT1G75830, AT2G16870, AT2G19490, AT2G38240, AT2G45760, AT3G54420, AT4G08780, AT4G25630, AT4G33980, AT5G42900, AT5G55450, AT5G64120, AT1G16090, AT1G16420, AT1G58340, AT2G02810, AT2G20880, AT3G22310, AT4G10390, AT4G28140, AT5G15970, AT5G24110, AT2G32240, AT3G53160, AT1G21110, AT1G21120, AT1G21250, AT2G19450, AT2G45220, AT2G46590, AT3G54150, AT5G22530"
2,Upregulated,1.8E-02,24,1512,2.30921528509724,Response to biotic stimulus ,http://amigo.geneontology.org/amigo/term/GO:0009607,"AT1G58340, AT5G57110, AT1G61370, AT4G21390, AT4G31970, AT5G60300, AT5G65600, AT2G21660, AT1G61560, AT1G75830, AT5G55450, AT1G21250, AT2G45220, AT3G53160, AT3G54420, AT3G57240, AT5G37840, AT5G42900, AT2G32240, AT1G15520, AT1G17750, AT2G38240, AT3G19260, AT5G64120"
3,Upregulated,1.8E-02,24,1485,2.3337162430293,Response to external biotic stimulus ,http://amigo.geneontology.org/amigo/term/GO:0043207,"AT1G58340, AT5G57110, AT1G61370, AT4G21390, AT4G31970, AT5G60300, AT5G65600, AT2G21660, AT1G75830, AT5G55450, AT1G21250, AT2G45220, AT3G53160, AT3G54420, AT3G57240, AT5G37840, AT5G42900, AT2G32240, AT1G15520, AT1G17750, AT1G61560, AT2G38240, AT3G19260, AT5G64120"
4,Upregulated,1.8E-02,24,1507,2.29715671963981,Interspecies interaction between organisms ,http://amigo.geneontology.org/amigo/term/GO:0044419,"AT1G58340, AT5G57110, AT1G61370, AT4G21390, AT4G31970, AT5G60300, AT5G65600, AT2G21660, AT1G75830, AT5G55450, AT1G21250, AT2G45220, AT3G53160, AT3G54420, AT3G57240, AT5G37840, AT5G42900, AT2G32240, AT1G15520, AT1G17750, AT1G61560, AT2G38240, AT3G19260, AT5G64120"
5,Upregulated,1.8E-02,24,1485,2.3337162430293,Response to other organism ,http://amigo.geneontology.org/amigo/term/GO:0051707,"AT1G58340, AT5G57110, AT1G61370, AT4G21390, AT4G31970, AT5G60300, AT5G65600, AT2G21660, AT1G75830, AT5G55450, AT1G21250, AT2G45220, AT3G53160, AT3G54420, AT3G57240, AT5G37840, AT5G42900, AT2G32240, AT1G15520, AT1G17750, AT1G61560, AT2G38240, AT3G19260, AT5G64120"
6,Upregulated,1.84E-02,3,12,29.9935576234789,Double-strand break repair via break-induced replication ,http://amigo.geneontology.org/amigo/term/GO:0000727,"AT2G07690, AT4G02060, AT5G44635"
7,Upregulated,1.93E-02,9,233,4.64688920927138,Response to wounding ,http://amigo.geneontology.org/amigo/term/GO:0009611,"AT1G16090, AT1G17750, AT3G25250, AT3G54420, AT4G10390, AT1G21110, AT1G21120, AT3G54150, AT5G60300"
8,Upregulated,5.46E-02,3,18,19.4075961093099,DNA unwinding involved in DNA replication ,http://amigo.geneontology.org/amigo/term/GO:0006268,"AT4G02060, AT5G44635, AT2G07690"
9,Upregulated,5.78E-02,3,22,18.3293963254593,Callus formation ,http://amigo.geneontology.org/amigo/term/GO:1990110,"AT1G21110, AT1G21120, AT3G54150"
10,Upregulated,5.9E-02,3,23,17.3646912556983,Wound healing ,http://amigo.geneontology.org/amigo/term/GO:0042060,"AT1G21110, AT1G21120, AT3G54150"
