symbol,ensembl_ID,User_ID,WT_0dpi-X1703_0dpi_log2FC,WT_0dpi-X1703_0dpi_adjPval
RBCS1A,AT1G67090,AT1G67090,-2.35507265566957,1.4425908540191E-13
PDF1.2c,AT5G44430,AT5G44430,0.0907729242769325,0.942284363863008
CAB1,AT1G29930,AT1G29930,-1.3133129503565,2.38597079561666E-05
LHB1B2,AT2G34420,AT2G34420,-0.864705607547944,0.00249076991780926
PDF1.2,AT5G44420,AT5G44420,0.486208114724199,0.391062586969323
CAB2,AT1G29920,AT1G29920,-2.55717245906331,6.6117619150278E-13
 RCA,AT2G39730,AT2G39730,-1.57564701865204,2.51243194321611E-18
LHCA4,AT3G47470,AT3G47470,-1.28868216262349,1.96072948087372E-08
LHCB5,AT4G10340,AT4G10340,-1.4846530022432,2.46410233564476E-10
CAB3,AT1G29910,AT1G29910,-1.89004642034559,9.36221959359821E-10
LHB1B1,AT2G34430,AT2G34430,-4.33900345398551,6.96732285375896E-11
 atpE,ATCG00470,ATCG00470,-0.906202715582856,0.00324580001349112
LHCB3,AT5G54270,AT5G54270,-2.45897923407297,1.23626318036338E-16
LHCA1,AT3G54890,AT3G54890,-1.91917390642981,2.06182134632645E-14
RBCS3B,AT5G38410,AT5G38410,-2.63961197463258,7.48192888332415E-21
LHCB6,AT1G15820,AT1G15820,-2.1905835682986,2.5416672372098E-23
PDF1.3,AT2G26010,AT2G26010,0.0141312970793638,1
LHCA3,AT1G61520,AT1G61520,-1.37596208596989,7.32087316213562E-17
 atpB,ATCG00480,ATCG00480,-1.26727282435062,7.20812409742372E-05
LHCA2,AT3G61470,AT3G61470,-1.38340338120072,1.07883400435451E-11
PSBO1,AT5G66570,AT5G66570,-1.1310425248069,9.44537997743471E-13
ATCG01130,ATCG01130,ATCG01130,-1.63528133419531,0.0180976570550897
CAT3 AT1G20620,AT1G20620,AT1G20620,0.800043850916413,0.00202831496747079
PSBP-1,AT1G06680,AT1G06680,-1.50380032206964,3.52935372414094E-19
 PSAF,AT1G31330,AT1G31330,-1.52490304606029,3.8488698578693E-15
 PSBW,AT2G30570,AT2G30570,-1.0261739012146,1.49905771211843E-07
 PSBR,AT1G79040,AT1G79040,-0.412273883003345,0.118301767905419
PDF1.2b,AT2G26020,AT2G26020,0.477395602484415,0.59077207890706
LHCB4.1,AT5G01530,AT5G01530,-1.65637313382239,2.06805963424181E-13
PR4,AT3G04720,AT3G04720,-0.0961886317019419,0.839435093492974
 PSAL,AT4G12800,AT4G12800,-1.13381346209082,3.21985310638881E-08
LHCB4.2,AT3G08940,AT3G08940,-1.4447536737889,4.79936919736966E-11
 PSAO,AT1G08380,AT1G08380,-1.52986874104637,1.36261600436542E-12
PRXR1,AT4G21960,AT4G21960,0.334730702285918,0.168910029399092
 PSAK,AT1G30380,AT1G30380,-1.79947607747119,9.19559144461337E-11
GSTF2,AT4G02520,AT4G02520,0.436779013411114,0.4143637539276
GAPA-2,AT1G12900,AT1G12900,-2.70242176513429,3.1455053947043E-17
CRD1,AT3G56940,AT3G56940,-1.84516358181959,1.78979880478814E-18
LHCB2.1,AT2G05100,AT2G05100,-1.30886166270115,2.66452160811527E-08
SHM1,AT4G37930,AT4G37930,-0.995476726320859,1.98351043486995E-08
GUN5,AT5G13630,AT5G13630,-2.25118737577079,1.57137380402842E-18
PSAD-1,AT4G02770,AT4G02770,-1.25569724020919,1.33165030514741E-15
LHCB2.3,AT3G27690,AT3G27690,-3.38892633516573,3.45767720500493E-11
PSAE-1,AT4G28750,AT4G28750,-1.68139752085411,5.86760311255591E-12
 PSBX,AT2G06520,AT2G06520,-1.48129777263526,2.04546472100121E-08
AT3G15356,AT3G15356,AT3G15356,-1.47188256148672,0.000124538389920482
 GAMMA-VPE,AT4G32940,AT4G32940,2.17435947070855,NA
DRT112,AT1G20340,AT1G20340,-1.66995054026392,4.1857870192925E-08
PSBQ-2,AT4G05180,AT4G05180,-1.06181746292504,1.77244699234261E-08
AT4G16260,AT4G16260,AT4G16260,0.547812286295768,0.541266614370318
RBCS2B,AT5G38420,AT5G38420,-3.49189129846477,1.49796371888832E-26
FBA2,AT4G38970,AT4G38970,-1.84100673278389,1.20520051371277E-20
 PSAG,AT1G55670,AT1G55670,-1.61451317445643,4.69769742029422E-13
CA1,AT3G01500,AT3G01500,-4.85924973069067,6.22071881287061E-32
GGT1 AT1G23310,AT1G23310,AT1G23310,-0.841533701475402,1.0982436564112E-10
 FED A,AT1G60950,AT1G60950,-2.09075287024883,1.71273347638205E-10
GER1 AT1G72610,AT1G72610,AT1G72610,-2.59585784047686,7.9338435156774E-08
AT4G01150,AT4G01150,AT4G01150,-1.36739568598561,7.66514776193198E-08
LHCB2.2,AT2G05070,AT2G05070,-2.03501866611594,1.2577914301657E-13
 PSAN,AT5G64040,AT5G64040,-1.57854770235405,1.25480035434478E-11
PLA2A,AT2G26560,AT2G26560,2.38192842220775,6.99738985034963E-08
MT3,AT3G15353,AT3G15353,1.61655897464954,8.08116209402246E-05
 GAPA,AT3G26650,AT3G26650,-1.75295568916606,1.05199277056565E-21
 PSI-P,AT2G46820,AT2G46820,-1.87100985100742,3.18867615420262E-16
 TCTP,AT3G16640,AT3G16640,1.06464564222376,1.80543380124262E-06
APE2,AT5G46110,AT5G46110,-1.23438889908628,1.04187143538293E-15
 GAPB,AT1G42970,AT1G42970,-1.98257032944434,9.37972124197268E-18
