"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0071456","cellular response to hypoxia","9/139","241/21384",0.037344398340249,5.7451267202006,5.99220112340268,2.90444098324265e-05,0.0067136600749294,0.00615373538851829,"AT5G41080/AT2G32210/AT4G30280/AT3G25250/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510",9
"BP","GO:0036294","cellular response to decreased oxygen levels","9/139","243/21384",0.037037037037037,5.6978417266187,5.95733613235977,3.09861234227511e-05,0.0067136600749294,0.00615373538851829,"AT5G41080/AT2G32210/AT4G30280/AT3G25250/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510",9
"BP","GO:0071453","cellular response to oxygen levels","9/139","243/21384",0.037037037037037,5.6978417266187,5.95733613235977,3.09861234227511e-05,0.0067136600749294,0.00615373538851829,"AT5G41080/AT2G32210/AT4G30280/AT3G25250/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510",9
"BP","GO:0001666","response to hypoxia","9/139","271/21384",0.033210332103321,5.10913483235552,5.50647172987447,7.20823477788023e-05,0.00897975310038458,0.00823083442075736,"AT5G41080/AT2G32210/AT4G30280/AT3G25250/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510",9
"BP","GO:0036293","response to decreased oxygen levels","9/139","275/21384",0.0327272727272727,5.03482014388489,5.4471589427104,8.06259306538475e-05,0.00897975310038458,0.00823083442075736,"AT5G41080/AT2G32210/AT4G30280/AT3G25250/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510",9
"BP","GO:0070482","response to oxygen levels","9/139","276/21384",0.0326086956521739,5.01657804191429,5.4325102995109,8.28900286189346e-05,0.00897975310038458,0.00823083442075736,"AT5G41080/AT2G32210/AT4G30280/AT3G25250/AT1G35140/AT5G42380/AT3G46080/AT1G33055/AT5G57510",9
"BP","GO:0051726","regulation of cell cycle","7/139","196/21384",0.0357142857142857,5.49434737923947,5.1128498747981,0.000300609907121754,0.0266558008914065,0.0244326855134187,"AT1G26330/AT1G72670/AT1G02970/AT3G48160/AT5G24330/AT1G07270/AT2G38620",7
"BP","GO:0046785","microtubule polymerization","3/139","21/21384",0.142857142857143,21.9773895169579,7.77935015627292,0.000328071395586541,0.0266558008914065,0.0244326855134187,"AT5G51600/AT2G38720/AT1G23790",3
"BP","GO:0010411","xyloglucan metabolic process","4/139","61/21384",0.0655737704918033,10.0879820733577,5.7493874432417,0.000669468025457212,0.0477086096312772,0.0437296729575755,"AT2G37720/AT4G30280/AT4G14130/AT4G25810",4
"BP","GO:0044770","cell cycle phase transition","5/139","109/21384",0.0458715596330275,7.05695993663785,5.12798228303542,0.000733978609711957,0.0477086096312772,0.0437296729575755,"AT2G26760/AT1G02970/AT1G07270/AT4G37490/AT2G38620",5
"CC","GO:0009524","phragmoplast","5/187","72/26913",0.0694444444444444,9.99442959001783,6.39244995737172,0.000147323479930051,0.0139957305933549,0.0114757236998145,"AT5G51600/AT4G21270/AT1G72670/AT1G18370/AT2G38720",5
"CC","GO:0009574","preprophase band","3/187","26/26913",0.115384615384615,16.6061291649527,6.65943686208575,0.000762930549572865,0.0309196910509092,0.0253524336594712,"AT5G51600/AT1G72670/AT2G38720",3
"CC","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","4/187","63/26913",0.0634920634920635,9.13776419658772,5.40916263508227,0.0009764112963445,0.0309196910509092,0.0253524336594712,"AT2G26760/AT1G71530/AT4G37490/AT2G38620",4
"CC","GO:0099503","secretory vesicle","6/187","174/26913",0.0344827586206897,4.96275124469851,4.3865760474804,0.00139952034321204,0.0332386081512859,0.0272538172099186,"AT3G05730/AT4G19810/AT5G23820/AT2G43620/AT2G14610/AT4G22490",6
