symbol,ensembl_ID,User_ID,WT_0dpi-X1703_0dpi_log2FC,WT_0dpi-X1703_0dpi_adjPval,WT_2dpi-X1703_2dpi_log2FC,WT_2dpi-X1703_2dpi_adjPval
RBCS1A,AT1G67090,AT1G67090,-2.35507265566957,1.4425908540191E-13,-1.85735593808967,2.8492454110223E-07
PDF1.2c,AT5G44430,AT5G44430,0.0907729242769325,0.942284363863008,0.129046180945496,0.915110812053201
CAB1,AT1G29930,AT1G29930,-1.3133129503565,2.38597079561666E-05,-2.97252805024852,6.07816348938843E-20
LHB1B2,AT2G34420,AT2G34420,-0.864705607547944,0.00249076991780926,-2.10534332492695,6.59417892559386E-13
PDF1.2,AT5G44420,AT5G44420,0.486208114724199,0.391062586969323,0.0221172064136771,0.982373639590192
CAB2,AT1G29920,AT1G29920,-2.55717245906331,6.6117619150278E-13,-2.60778382949569,4.19374039027357E-11
 RCA,AT2G39730,AT2G39730,-1.57564701865204,2.51243194321611E-18,-1.83896365860336,2.1487215742229E-20
LHCA4,AT3G47470,AT3G47470,-1.28868216262349,1.96072948087372E-08,-2.04674244012116,1.2016347907385E-16
LHCB5,AT4G10340,AT4G10340,-1.4846530022432,2.46410233564476E-10,-2.4883388939461,6.64361430543651E-23
CAB3,AT1G29910,AT1G29910,-1.89004642034559,9.36221959359821E-10,-1.57024702538715,7.61915270408761E-06
LHB1B1,AT2G34430,AT2G34430,-4.33900345398551,6.96732285375896E-11,-5.29561092245449,4.29542667056991E-13
 atpE,ATCG00470,ATCG00470,-0.906202715582856,0.00324580001349112,-1.84613177077822,7.7369684065331E-09
LHCB3,AT5G54270,AT5G54270,-2.45897923407297,1.23626318036338E-16,-3.09847481442679,2.09539427286634E-21
LHCA1,AT3G54890,AT3G54890,-1.91917390642981,2.06182134632645E-14,-1.72836943388747,7.95493869996681E-10
RBCS3B,AT5G38410,AT5G38410,-2.63961197463258,7.48192888332415E-21,-3.78434247984781,2.1670286621559E-34
LHCB6,AT1G15820,AT1G15820,-2.1905835682986,2.5416672372098E-23,-2.17265657714482,5.33054555276359E-19
PDF1.3,AT2G26010,AT2G26010,0.0141312970793638,1,-1.8846195985249,0.0505484550549303
LHCA3,AT1G61520,AT1G61520,-1.37596208596989,7.32087316213562E-17,-2.10425181390484,1.02895642667365E-31
 atpB,ATCG00480,ATCG00480,-1.26727282435062,7.20812409742372E-05,-2.19704595490226,8.99448800599467E-11
LHCA2,AT3G61470,AT3G61470,-1.38340338120072,1.07883400435451E-11,-2.1674329706137,7.67551692469975E-23
PSBO1,AT5G66570,AT5G66570,-1.1310425248069,9.44537997743471E-13,-1.8374154544121,9.07190177115566E-27
ATCG01130,ATCG01130,ATCG01130,-1.63528133419531,0.0180976570550897,-0.819066489829294,0.363368027102546
CAT3 AT1G20620,AT1G20620,AT1G20620,0.800043850916413,0.00202831496747079,0.395920185957711,0.234932310306226
PSBP-1,AT1G06680,AT1G06680,-1.50380032206964,3.52935372414094E-19,-1.92391741277387,1.65749239229061E-25
 PSAF,AT1G31330,AT1G31330,-1.52490304606029,3.8488698578693E-15,-2.73626898999258,2.01253587209204E-38
 PSBW,AT2G30570,AT2G30570,-1.0261739012146,1.49905771211843E-07,-1.91226858829722,5.0453905939886E-20
 PSBR,AT1G79040,AT1G79040,-0.412273883003345,0.118301767905419,-1.65571854080459,4.49467354752017E-11
PDF1.2b,AT2G26020,AT2G26020,0.477395602484415,0.59077207890706,0.189121851560158,0.865534911242618
LHCB4.1,AT5G01530,AT5G01530,-1.65637313382239,2.06805963424181E-13,-1.90952801952872,1.53365143102917E-14
PR4,AT3G04720,AT3G04720,-0.0961886317019419,0.839435093492974,0.650550398801522,0.0975460186671684
 PSAL,AT4G12800,AT4G12800,-1.13381346209082,3.21985310638881E-08,-1.929799463293,1.90778711345782E-18
LHCB4.2,AT3G08940,AT3G08940,-1.4447536737889,4.79936919736966E-11,-2.00879037039173,4.48586328916889E-17
 PSAO,AT1G08380,AT1G08380,-1.52986874104637,1.36261600436542E-12,-2.55324367554921,9.70436561987888E-28
PRXR1,AT4G21960,AT4G21960,0.334730702285918,0.168910029399092,0.00817932221120354,0.987087116000738
 PSAK,AT1G30380,AT1G30380,-1.79947607747119,9.19559144461337E-11,-2.68212962288235,5.62592346664398E-19
GSTF2,AT4G02520,AT4G02520,0.436779013411114,0.4143637539276,0.495757889529654,0.420251015323561
GAPA-2,AT1G12900,AT1G12900,-2.70242176513429,3.1455053947043E-17,-2.26874809066416,3.26933660275907E-10
CRD1,AT3G56940,AT3G56940,-1.84516358181959,1.78979880478814E-18,-2.0140750422344,4.63328962249605E-18
LHCB2.1,AT2G05100,AT2G05100,-1.30886166270115,2.66452160811527E-08,-2.97819516241716,2.83879822737013E-32
SHM1,AT4G37930,AT4G37930,-0.995476726320859,1.98351043486995E-08,-1.77124088250374,1.50300980915946E-20
GUN5,AT5G13630,AT5G13630,-2.25118737577079,1.57137380402842E-18,-1.68897577036577,6.66283082704964E-09
PSAD-1,AT4G02770,AT4G02770,-1.25569724020919,1.33165030514741E-15,-1.76553743699888,9.34502362224523E-25
LHCB2.3,AT3G27690,AT3G27690,-3.38892633516573,3.45767720500493E-11,-5.24727455880728,5.0453905939886E-20
PSAE-1,AT4G28750,AT4G28750,-1.68139752085411,5.86760311255591E-12,-2.4989289540815,5.08305414670974E-21
 PSBX,AT2G06520,AT2G06520,-1.48129777263526,2.04546472100121E-08,-1.96808301691126,8.78442371930042E-12
AT3G15356,AT3G15356,AT3G15356,-1.47188256148672,0.000124538389920482,-0.160398492059341,0.792947569536099
 GAMMA-VPE,AT4G32940,AT4G32940,2.17435947070855,NA,2.41682310989426,NA
DRT112,AT1G20340,AT1G20340,-1.66995054026392,4.1857870192925E-08,-1.79400126204409,1.17151323911435E-07
PSBQ-2,AT4G05180,AT4G05180,-1.06181746292504,1.77244699234261E-08,-1.89561584803595,6.52566151203152E-21
