"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0009415","response to water","12/151","471/21384",0.0254777070063694,3.60804825578943,4.82653010401583,0.00013391372833098,0.0351389999007732,0.0301266114083252,"AT3G11020/AT5G13330/AT5G24090/AT2G36270/AT1G05680/AT5G06760/AT1G15380/AT2G38530/AT3G09940/AT2G21490/AT1G36060/AT5G15960",12
"BP","GO:0016114","terpenoid biosynthetic process","7/151","169/21384",0.0414201183431953,5.86574709040323,5.35535762216312,0.000202081184793038,0.0351389999007732,0.0301266114083252,"AT1G61680/AT3G52310/AT3G26790/AT1G36060/AT3G25180/AT2G36690/AT3G21500",7
"BP","GO:0010115","regulation of abscisic acid biosynthetic process","3/151","19/21384",0.157894736842105,22.3604043220634,7.85510387832022,0.000307814460525533,0.0351389999007732,0.0301266114083252,"AT3G52310/AT3G26790/AT1G36060",3
"BP","GO:0042430","indole-containing compound metabolic process","5/151","86/21384",0.0581395348837209,8.23348221161251,5.6681892726386,0.000361221893883454,0.0351389999007732,0.0301266114083252,"AT1G76790/AT5G28237/AT1G05680/AT4G35160/AT2G30770",5
"BP","GO:0009414","response to water deprivation","11/151","458/21384",0.0240174672489083,3.40125509702421,4.38071540511072,0.000421771976312428,0.0351389999007732,0.0301266114083252,"AT3G11020/AT5G13330/AT5G24090/AT2G36270/AT1G05680/AT5G06760/AT1G15380/AT2G38530/AT3G09940/AT2G21490/AT5G15960",11
"BP","GO:0019748","secondary metabolic process","8/151","255/21384",0.0313725490196078,4.44285157771718,4.66408042925108,0.000469680658973528,0.0351389999007732,0.0301266114083252,"AT5G62480/AT3G52310/AT3G26790/AT2G30770/AT3G09270/AT2G29480/AT1G36060/AT4G12350",8
"BP","GO:0009751","response to salicylic acid","7/151","199/21384",0.0351758793969849,4.98146360943792,4.7585229301914,0.000542582468701629,0.0351389999007732,0.0301266114083252,"AT5G13330/AT1G12160/AT1G15380/AT1G28480/AT4G18980/AT1G65510/AT1G14780",7
"BP","GO:0008299","isoprenoid biosynthetic process","7/151","203/21384",0.0344827586206897,4.88330669102535,4.68806464515508,0.000610588063715768,0.0351389999007732,0.0301266114083252,"AT1G61680/AT3G52310/AT3G26790/AT1G36060/AT3G25180/AT2G36690/AT3G21500",7
"BP","GO:1902930","regulation of alcohol biosynthetic process","3/151","25/21384",0.12,16.9939072847682,6.74762956338633,0.000708286713820934,0.0351389999007732,0.0301266114083252,"AT3G52310/AT3G26790/AT1G36060",3
"BP","GO:0043455","regulation of secondary metabolic process","4/151","58/21384",0.0689655172413793,9.7666133820507,5.63778175954247,0.000753788409307682,0.0351389999007732,0.0301266114083252,"AT3G52310/AT3G26790/AT1G36060/AT4G12350",4
"BP","GO:0006721","terpenoid metabolic process","7/151","211/21384",0.033175355450237,4.69815762217131,4.55252729452743,0.000766867609670181,0.0351389999007732,0.0301266114083252,"AT1G61680/AT3G52310/AT3G26790/AT1G36060/AT3G25180/AT2G36690/AT3G21500",7
"BP","GO:0042435","indole-containing compound biosynthetic process","4/151","59/21384",0.0677966101694915,9.60107756201594,5.57893705774275,0.000804209697766526,0.0351389999007732,0.0301266114083252,"AT1G76790/AT5G28237/AT4G35160/AT2G30770",4
"BP","GO:0009404","toxin metabolic process","4/151","61/21384",0.0655737704918033,9.28628813375312,5.46534908322127,0.000912115996436811,0.0351389999007732,0.0301266114083252,"AT5G62480/AT2G30770/AT3G09270/AT2G29480",4
"BP","GO:0009688","abscisic acid biosynthetic process","3/151","28/21384",0.107142857142857,15.1731315042573,6.32851753873886,0.000993328619103131,0.0351389999007732,0.0301266114083252,"AT3G52310/AT3G26790/AT1G36060",3
"BP","GO:0043289","apocarotenoid biosynthetic process","3/151","28/21384",0.107142857142857,15.1731315042573,6.32851753873886,0.000993328619103131,0.0351389999007732,0.0301266114083252,"AT3G52310/AT3G26790/AT1G36060",3
"BP","GO:1902645","tertiary alcohol biosynthetic process","3/151","28/21384",0.107142857142857,15.1731315042573,6.32851753873886,0.000993328619103131,0.0351389999007732,0.0301266114083252,"AT3G52310/AT3G26790/AT1G36060",3
"BP","GO:0014070","response to organic cyclic compound","9/151","361/21384",0.0249307479224377,3.53059015611528,4.08926430754696,0.00108864947095017,0.0362456235622233,0.0310753811831596,"AT5G13330/AT1G12160/AT1G74660/AT1G15380/AT1G28480/AT4G18980/AT1G65510/AT1G14780/AT2G24850",9
"BP","GO:0010187","negative regulation of seed germination","3/151","30/21384",0.1,14.1615894039735,6.08340118596639,0.0012184019820937,0.0383119734369465,0.0328469774119999,"AT2G36270/AT4G35160/AT1G36060",3
