"gene_id","OLD_LEAF-YOUNG_LEAF","INFECTED-UNINFECTED","I:Tissue_OLD_LEAF-Treatment_INFECTED"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-0.4-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-101.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-106.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-112.8-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-113.9-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-114.4-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-115.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-117.11-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-118.15-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-118.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-120.1-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-120.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-121.9-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-122.0-MRNA-1","None","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-124.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-127.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-127.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-127.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-128.8-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-129.9-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-130.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-131.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-131.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-133.10-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-133.8-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-134.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-136.7-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-137.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-138.0-MRNA-1","Up","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-138.5-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-14.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-14.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-141.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-144.8-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-145.11-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-146.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-147.7-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-149.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-15.2-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-150.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-153.12-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-153.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-154.10-MRNA-1","None","None","Up"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-154.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-155.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-155.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-155.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-156.0-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-156.1-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-156.10-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-156.3-MRNA-1","Up","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-157.0-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-158.7-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-159.10-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-159.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-159.4-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-159.5-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-159.8-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-16.3-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-160.11-MRNA-1","Down","None","Down"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-160.2-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-160.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-162.6-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-163.1-MRNA-1","None","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-163.9-MRNA-1","Down","None","None"
"AUGUSTUS_MASKED-FVB1-1-PROCESSED-GENE-164.8-MRNA-1","None","None","None"
