,group,FDR,nGenes,Pathway size,Fold enriched,Pathway,URL,Genes
1,Upregulated,5.86E-08,108,700,1.87466491350823,Cell wall organization or biogenesis ,http://amigo.geneontology.org/amigo/term/GO:0071554,"AT2G04780, AT2G37090, AT3G05910, AT3G19620, AT4G02500, AT4G18270, AT4G23990, AT4G24010, AT4G24910, AT4G30570, AT4G32410, AT5G03170, AT5G09870, AT5G15630, AT5G17420, AT5G23870, AT5G26670, AT5G45280, AT5G62220, AT5G64740, AT3G55990, AT4G21060, AT5G15740, AT1G05570, AT1G05850, AT1G11545, AT1G13250, AT1G14020, AT1G19940, AT1G20190, AT1G24070, AT1G24170, AT1G26770, AT1G32860, AT1G64390, AT1G68060, AT1G69530, AT1G70630, AT1G75120, AT1G75680, AT1G79500, AT2G03280, AT2G20750, AT2G24630, AT2G26330, AT2G28950, AT2G32990, AT2G33570, AT2G35650, AT2G36870, AT2G37640, AT2G39700, AT2G40320, AT3G02250, AT3G03220, AT3G21190, AT3G23730, AT3G23840, AT3G29030, AT3G44990, AT3G45940, AT3G49220, AT3G50240, AT3G50760, AT3G57200, AT3G58790, AT3G59010, AT4G02130, AT4G03210, AT4G13840, AT4G16120, AT4G20170, AT4G24510, AT4G28250, AT4G31590, AT4G37800, AT5G03760, AT5G08370, AT5G19730, AT5G22740, AT5G25830, AT5G41900, AT5G44670, AT5G55480, AT5G60930, AT5G62380, AT5G64640, AT5G65730, AT5G65810, AT2G18230, AT2G45890, AT5G06610, AT5G16600, AT5G50800, AT1G27120, AT1G66810, AT1G74800, AT1G78580, AT2G20370, AT2G34070, AT2G35620, AT2G36570, AT2G47670, AT3G56960, AT4G17880, AT5G04885, AT5G46330, AT2G35700"
2,Upregulated,5.86E-08,87,532,2.04507609736558,Cell wall organization ,http://amigo.geneontology.org/amigo/term/GO:0071555,"AT3G05910, AT4G18270, AT5G15630, AT5G23870, AT5G26670, AT5G45280, AT5G15740, AT1G05570, AT1G11545, AT1G13250, AT1G14020, AT1G19940, AT1G20190, AT1G24070, AT1G24170, AT1G26770, AT1G32860, AT1G64390, AT1G68060, AT1G69530, AT1G70630, AT1G75120, AT1G75680, AT1G79500, AT2G03280, AT2G20750, AT2G24630, AT2G26330, AT2G28950, AT2G32990, AT2G33570, AT2G35650, AT2G36870, AT2G37090, AT2G37640, AT2G39700, AT3G02250, AT3G03220, AT3G21190, AT3G23730, AT3G23840, AT3G29030, AT3G44990, AT3G45940, AT3G49220, AT3G50240, AT3G50760, AT3G57200, AT3G58790, AT3G59010, AT4G02130, AT4G03210, AT4G13840, AT4G16120, AT4G20170, AT4G23990, AT4G24010, AT4G24510, AT4G28250, AT4G31590, AT4G32410, AT4G37800, AT5G03760, AT5G08370, AT5G09870, AT5G17420, AT5G19730, AT5G22740, AT5G25830, AT5G41900, AT5G44670, AT5G55480, AT5G60930, AT5G62380, AT5G64640, AT5G64740, AT5G65730, AT5G65810, AT2G18230, AT2G45890, AT5G06610, AT5G50800, AT2G34070, AT2G35620, AT2G47670, AT3G56960, AT5G46330"
3,Upregulated,2.16E-07,84,495,1.99083004703758,Polysaccharide metabolic process ,http://amigo.geneontology.org/amigo/term/GO:0005976,"AT2G36390, AT2G37090, AT3G19620, AT3G29320, AT3G46970, AT3G52180, AT4G02500, AT4G24910, AT4G32410, AT5G04885, AT5G09870, AT5G15630, AT5G17420, AT5G19730, AT5G62220, AT5G64740, AT2G33570, AT3G55990, AT5G15740, AT1G03310, AT1G04680, AT1G05570, AT1G11545, AT1G13250, AT1G14020, AT1G19940, AT1G24170, AT1G32900, AT1G64390, AT1G67750, AT1G75680, AT2G03280, AT2G21590, AT2G32990, AT2G35620, AT2G36870, AT2G39930, AT2G40320, AT2G40840, AT3G02250, AT3G07010, AT3G09540, AT3G23730, AT3G44990, AT3G45940, AT3G49220, AT3G50760, AT3G57200, AT3G58790, AT3G59010, AT4G00490, AT4G02130, AT4G03210, AT4G09020, AT4G13710, AT4G23990, AT4G24010, AT4G28706, AT4G37800, AT4G38650, AT4G39210, AT5G04360, AT5G36890, AT5G48900, AT5G63180, AT5G64640, AT5G65730, AT5G65810, AT1G16860, AT2G18230, AT5G06610, AT1G05850, AT1G10760, AT1G26810, AT1G68050, AT2G20370, AT2G22900, AT3G21190, AT3G55760, AT4G28490, AT5G17520, AT5G26570, AT5G62380, AT1G79500"
4,Upregulated,2.16E-07,234,1669,1.46176804322673,Response to endogenous stimulus ,http://amigo.geneontology.org/amigo/term/GO:0009719,"AT1G01360, AT1G08810, AT1G20450, AT1G23080, AT1G35710, AT1G53500, AT1G66350, AT1G69260, AT1G73590, AT1G76180, AT1G77110, AT2G01420, AT2G01950, AT2G24010, AT3G03450, AT3G16360, AT3G22810, AT3G49670, AT3G63300, AT4G00710, AT4G14740, AT4G20270, AT4G30610, AT5G16530, AT5G39340, AT5G43870, AT5G46570, AT1G75750, AT2G19620, AT2G44830, AT5G11790, AT5G65310, AT1G01250, AT1G04240, AT1G04250, AT1G04310, AT1G05470, AT1G05850, AT1G13930, AT1G14350, AT1G16060, AT1G19350, AT1G19840, AT1G24020, AT1G26210, AT1G29430, AT1G29440, AT1G29450, AT1G29460, AT1G29500, AT1G29510, AT1G45249, AT1G49720, AT1G52830, AT1G53300, AT1G56150, AT1G63100, AT1G63260, AT1G64380, AT1G65790, AT1G67710, AT1G75580, AT2G01150, AT2G16750, AT2G20880, AT2G21200, AT2G21210, AT2G22430, AT2G23340, AT2G27050, AT2G28350, AT2G28550, AT2G32510, AT2G35700, AT2G37030, AT2G38120, AT2G39250, AT2G40670, AT2G40750, AT2G44940, AT2G46530, AT2G46790, AT3G03820, AT3G03830, AT3G03840, AT3G03850, AT3G11410, AT3G13980, AT3G15540, AT3G16570, AT3G22231, AT3G23050, AT3G28860, AT3G49260, AT3G52430, AT3G54430, AT3G57200, AT3G58070, AT3G59900, AT4G00880, AT4G03190, AT4G14550, AT4G14560, AT4G16750, AT4G28950, AT4G29080, AT4G30410, AT4G32280, AT4G32800, AT4G34000, AT4G34750, AT4G34760, AT4G34770, AT4G34790, AT4G35987, AT4G38840, AT4G38850, AT4G38860, AT4G39403, AT5G11590, AT5G12050, AT5G15160, AT5G15230, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G25390, AT5G25980, AT5G26000, AT5G26230, AT5G37020, AT5G39860, AT5G43700, AT5G52310, AT5G52900, AT5G57050, AT5G57390, AT5G60100, AT5G62920, AT5G67180, AT1G04180, AT1G05630, AT1G07640, AT1G10930, AT1G13430, AT1G18150, AT1G29395, AT1G31690, AT1G56600, AT1G56650, AT1G64625, AT1G65390, AT1G69040, AT1G69700, AT1G74520, AT1G76540, AT2G04240, AT2G15970, AT2G16600, AT2G17840, AT2G22840, AT2G23430, AT2G24850, AT2G28900, AT2G32690, AT2G34680, AT2G40530, AT2G42530, AT2G42540, AT3G11280, AT3G12820, AT3G20810, AT3G26790, AT3G47860, AT3G50660, AT4G12030, AT4G16515, AT4G23060, AT4G25420, AT4G27440, AT4G33980, AT5G08640, AT5G13930, AT5G14200, AT5G15960, AT5G15970, AT5G25620, AT5G42900, AT5G47370, AT5G50915, AT5G52830, AT5G54190, AT5G57740, AT5G62380, AT5G64770, AT1G30690, AT1G69690, AT2G23950, AT3G05800, AT4G09160, AT5G26170, AT1G07430, AT1G16310, AT1G24120, AT1G50280, AT1G51940, AT1G53230, AT1G63650, AT1G64060, AT1G78100, AT2G02820, AT2G05070, AT2G34070, AT2G38750, AT3G02410, AT3G25010, AT3G51480, AT4G17880, AT4G36830, AT5G07690, AT5G20635, AT5G36890, AT5G58670, AT5G63080, AT2G05100, AT2G32390, AT3G27690, AT4G35290, AT1G69530, AT1G79460, AT2G37640, AT3G05880"
5,Upregulated,2.16E-07,230,1639,1.46434977629579,Response to hormone ,http://amigo.geneontology.org/amigo/term/GO:0009725,"AT1G01360, AT1G08810, AT1G20450, AT1G23080, AT1G35710, AT1G53500, AT1G66350, AT1G69260, AT1G73590, AT1G76180, AT1G77110, AT2G01420, AT2G01950, AT2G24010, AT3G03450, AT3G16360, AT3G22810, AT3G49670, AT3G63300, AT4G00710, AT4G14740, AT4G20270, AT4G30610, AT5G16530, AT5G39340, AT5G43870, AT5G46570, AT1G75750, AT2G19620, AT2G44830, AT5G11790, AT5G65310, AT1G01250, AT1G04240, AT1G04250, AT1G04310, AT1G05470, AT1G05850, AT1G13930, AT1G14350, AT1G16060, AT1G19350, AT1G19840, AT1G24020, AT1G26210, AT1G29430, AT1G29440, AT1G29450, AT1G29460, AT1G29500, AT1G29510, AT1G45249, AT1G49720, AT1G52830, AT1G53300, AT1G56150, AT1G63100, AT1G63260, AT1G64380, AT1G65790, AT1G67710, AT1G75580, AT2G01150, AT2G16750, AT2G20880, AT2G21200, AT2G21210, AT2G22430, AT2G23340, AT2G27050, AT2G28350, AT2G28550, AT2G32510, AT2G35700, AT2G37030, AT2G38120, AT2G39250, AT2G40670, AT2G40750, AT2G44940, AT2G46530, AT2G46790, AT3G03820, AT3G03830, AT3G03840, AT3G03850, AT3G11410, AT3G13980, AT3G15540, AT3G16570, AT3G22231, AT3G23050, AT3G28860, AT3G49260, AT3G52430, AT3G54430, AT3G57200, AT3G58070, AT3G59900, AT4G00880, AT4G03190, AT4G14550, AT4G14560, AT4G16750, AT4G28950, AT4G29080, AT4G30410, AT4G32280, AT4G32800, AT4G34000, AT4G34750, AT4G34760, AT4G34770, AT4G34790, AT4G35987, AT4G38840, AT4G38850, AT4G38860, AT4G39403, AT5G11590, AT5G12050, AT5G15160, AT5G15230, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G25390, AT5G25980, AT5G26000, AT5G26230, AT5G37020, AT5G39860, AT5G43700, AT5G52310, AT5G52900, AT5G57050, AT5G57390, AT5G60100, AT5G62920, AT5G67180, AT1G04180, AT1G05630, AT1G07640, AT1G10930, AT1G13430, AT1G18150, AT1G29395, AT1G31690, AT1G56600, AT1G56650, AT1G64625, AT1G65390, AT1G69040, AT1G69700, AT1G74520, AT1G76540, AT2G04240, AT2G15970, AT2G16600, AT2G17840, AT2G22840, AT2G23430, AT2G24850, AT2G28900, AT2G32690, AT2G34680, AT2G40530, AT2G42530, AT2G42540, AT3G11280, AT3G12820, AT3G20810, AT3G26790, AT3G47860, AT3G50660, AT4G12030, AT4G16515, AT4G23060, AT4G25420, AT4G27440, AT4G33980, AT5G08640, AT5G13930, AT5G14200, AT5G15960, AT5G15970, AT5G25620, AT5G42900, AT5G47370, AT5G50915, AT5G52830, AT5G54190, AT5G57740, AT5G62380, AT5G64770, AT1G30690, AT1G69690, AT3G05800, AT4G09160, AT5G26170, AT1G07430, AT1G16310, AT1G24120, AT1G50280, AT1G51940, AT1G53230, AT1G63650, AT1G64060, AT1G78100, AT2G02820, AT2G05070, AT2G34070, AT2G38750, AT3G02410, AT3G25010, AT3G51480, AT4G36830, AT5G07690, AT5G20635, AT5G36890, AT5G58670, AT5G63080, AT2G05100, AT3G27690, AT1G69530, AT1G79460, AT2G37640, AT3G05880"
6,Upregulated,2.55E-07,82,456,1.98710190088208,Response to auxin ,http://amigo.geneontology.org/amigo/term/GO:0009733,"AT1G08810, AT1G23080, AT1G53500, AT1G73590, AT1G77110, AT2G01420, AT3G22810, AT3G63300, AT4G14740, AT5G16530, AT5G43870, AT2G44830, AT1G04240, AT1G04250, AT1G14350, AT1G19840, AT1G29430, AT1G29440, AT1G29450, AT1G29460, AT1G29500, AT1G29510, AT1G52830, AT1G56150, AT1G63260, AT1G75580, AT2G21200, AT2G21210, AT2G28350, AT2G37030, AT2G38120, AT2G46530, AT3G03820, AT3G03830, AT3G03840, AT3G03850, AT3G13980, AT3G15540, AT3G23050, AT3G28860, AT3G54430, AT4G00880, AT4G03190, AT4G14550, AT4G14560, AT4G29080, AT4G32280, AT4G34750, AT4G34760, AT4G34770, AT4G34790, AT4G35987, AT4G38840, AT4G38850, AT4G38860, AT4G39403, AT5G12050, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G37020, AT5G43700, AT1G31690, AT1G56650, AT1G64625, AT2G34680, AT3G26790, AT3G59900, AT4G16515, AT5G08640, AT5G13930, AT5G47370, AT5G57740, AT5G62380, AT5G64770, AT1G30690, AT4G09160, AT5G57390, AT1G53230, AT2G01950"
7,Upregulated,3.26E-07,58,282,2.28475777087723,Cellular response to auxin stimulus ,http://amigo.geneontology.org/amigo/term/GO:0071365,"AT1G23080, AT1G53500, AT1G73590, AT1G77110, AT2G01420, AT3G22810, AT3G63300, AT4G14740, AT5G16530, AT5G43870, AT2G44830, AT1G04240, AT1G04250, AT1G14350, AT1G29430, AT1G29440, AT1G29450, AT1G29460, AT1G29500, AT1G29510, AT1G52830, AT1G56150, AT1G63260, AT2G28350, AT2G38120, AT2G46530, AT3G03820, AT3G03830, AT3G03840, AT3G03850, AT3G13980, AT3G15540, AT3G23050, AT3G28860, AT3G54430, AT4G03190, AT4G14550, AT4G14560, AT4G29080, AT4G32280, AT4G34760, AT4G35987, AT4G38850, AT4G39403, AT5G12050, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G37020, AT5G43700, AT1G64625, AT5G47370, AT1G30690, AT4G09160, AT5G57390, AT2G01950"
8,Upregulated,4.56E-07,88,579,1.90268134821303,External encapsulating structure organization ,http://amigo.geneontology.org/amigo/term/GO:0045229,"AT3G05910, AT4G18270, AT5G15630, AT5G23870, AT5G26670, AT5G45280, AT5G15740, AT1G05570, AT1G11545, AT1G13250, AT1G14020, AT1G19940, AT1G20190, AT1G24070, AT1G24170, AT1G26770, AT1G32860, AT1G64390, AT1G68060, AT1G69530, AT1G70630, AT1G75120, AT1G75680, AT1G79500, AT2G03280, AT2G20750, AT2G24630, AT2G26330, AT2G28950, AT2G32990, AT2G33570, AT2G35650, AT2G36870, AT2G37090, AT2G37640, AT2G39700, AT3G02250, AT3G03220, AT3G21190, AT3G23730, AT3G23840, AT3G29030, AT3G44990, AT3G45940, AT3G49220, AT3G50240, AT3G50760, AT3G57200, AT3G58790, AT3G59010, AT4G02130, AT4G03210, AT4G13840, AT4G16120, AT4G20170, AT4G23990, AT4G24010, AT4G24510, AT4G28250, AT4G31590, AT4G32410, AT4G37800, AT5G03760, AT5G08370, AT5G09870, AT5G17420, AT5G19730, AT5G22740, AT5G25830, AT5G41900, AT5G44670, AT5G55480, AT5G60930, AT5G62380, AT5G64640, AT5G64740, AT5G65730, AT5G65810, AT2G18230, AT2G45890, AT5G06610, AT5G50800, AT1G65060, AT2G34070, AT2G35620, AT2G47670, AT3G56960, AT5G46330"
9,Upregulated,5.12E-07,161,1183,1.57119430182868,Carbohydrate metabolic process ,http://amigo.geneontology.org/amigo/term/GO:0005975,"AT1G05630, AT1G14520, AT1G78580, AT1G79500, AT2G04560, AT2G19860, AT2G22190, AT2G36390, AT2G37090, AT3G19620, AT3G29320, AT3G46970, AT3G52180, AT4G02500, AT4G08170, AT4G12430, AT4G17770, AT4G24910, AT4G32410, AT4G39770, AT4G39800, AT5G04885, AT5G09870, AT5G10170, AT5G15070, AT5G15630, AT5G17420, AT5G19730, AT5G62220, AT5G64740, AT1G56600, AT2G33570, AT2G40840, AT3G55990, AT5G15740, AT1G03310, AT1G04680, AT1G05470, AT1G05570, AT1G05850, AT1G09350, AT1G10640, AT1G10760, AT1G11545, AT1G13250, AT1G14020, AT1G19940, AT1G20950, AT1G22170, AT1G24170, AT1G24793, AT1G26560, AT1G32860, AT1G32900, AT1G43620, AT1G45130, AT1G45191, AT1G55120, AT1G60270, AT1G62330, AT1G64390, AT1G66970, AT1G66980, AT1G67750, AT1G75680, AT1G76130, AT2G03280, AT2G05790, AT2G20770, AT2G21590, AT2G32010, AT2G32860, AT2G32990, AT2G35620, AT2G36870, AT2G39930, AT2G40320, AT3G02250, AT3G02570, AT3G06770, AT3G07010, AT3G09540, AT3G13560, AT3G18070, AT3G18080, AT3G21190, AT3G23730, AT3G23820, AT3G30300, AT3G44990, AT3G45940, AT3G49220, AT3G50760, AT3G52840, AT3G54270, AT3G57200, AT3G57240, AT3G58790, AT3G59010, AT3G61490, AT3G62110, AT3G62750, AT3G63240, AT4G00490, AT4G02130, AT4G03210, AT4G09020, AT4G13710, AT4G17180, AT4G21760, AT4G23500, AT4G23820, AT4G23990, AT4G24010, AT4G24450, AT4G28706, AT4G33440, AT4G36360, AT4G37800, AT4G38650, AT4G39210, AT5G04360, AT5G08370, AT5G17520, AT5G21100, AT5G25980, AT5G26000, AT5G26570, AT5G36890, AT5G40390, AT5G42720, AT5G48900, AT5G49215, AT5G50420, AT5G55480, AT5G63180, AT5G64600, AT5G64640, AT5G65090, AT5G65470, AT5G65730, AT5G65810, AT5G67460, AT1G07640, AT1G04770, AT1G16860, AT2G18230, AT5G06610, AT1G21270, AT1G26810, AT1G68050, AT2G04650, AT2G20370, AT2G22900, AT3G55760, AT4G28490, AT5G07690, AT5G07700, AT5G61420, AT5G62380, AT2G41090"
10,Upregulated,5.5E-07,55,265,2.29217952275664,Auxin-activated signaling pathway ,http://amigo.geneontology.org/amigo/term/GO:0009734,"AT1G23080, AT1G53500, AT1G73590, AT1G77110, AT2G01420, AT3G22810, AT3G63300, AT4G14740, AT5G16530, AT5G43870, AT2G44830, AT1G04240, AT1G04250, AT1G14350, AT1G29430, AT1G29440, AT1G29450, AT1G29460, AT1G29500, AT1G29510, AT1G52830, AT1G56150, AT1G63260, AT2G28350, AT2G38120, AT2G46530, AT3G03820, AT3G03830, AT3G03840, AT3G03850, AT3G13980, AT3G15540, AT3G23050, AT3G28860, AT3G54430, AT4G03190, AT4G14550, AT4G14560, AT4G29080, AT4G32280, AT4G34760, AT4G35987, AT4G38850, AT4G39403, AT5G12050, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G37020, AT5G43700, AT5G47370, AT5G57390, AT2G01950"
