,group,FDR,nGenes,Pathway size,Fold enriched,Pathway,URL,Genes
11,Downregulated,1.85E-59,117,281,6.02825365205843,Photosynthesis ,http://amigo.geneontology.org/amigo/term/GO:0015979,"AT1G03600, AT1G14150, AT1G15820, AT1G19150, AT1G29920, AT1G61520, AT1G75690, AT1G76570, AT2G01918, AT2G05070, AT2G05100, AT2G05620, AT2G30570, AT2G40100, AT3G01440, AT3G27690, AT3G47470, AT3G61470, AT3G62410, AT4G09650, AT4G10340, AT4G21280, AT4G22890, AT5G28450, AT5G54270, AT1G08380, AT1G54500, AT1G55480, AT2G46820, AT5G54180, AT5G66570, AT1G03130, AT1G03630, AT1G06680, AT1G12900, AT1G15980, AT1G16720, AT1G18730, AT1G20020, AT1G30380, AT1G31330, AT1G32060, AT1G42970, AT1G44575, AT1G52230, AT1G55670, AT1G67090, AT1G67740, AT1G74470, AT1G79040, AT2G01590, AT2G06520, AT2G21970, AT2G28605, AT2G39470, AT3G12780, AT3G16140, AT3G21055, AT3G26650, AT3G50820, AT3G54050, AT3G55330, AT3G55800, AT3G56650, AT3G56940, AT4G12800, AT4G15510, AT4G19100, AT4G23890, AT4G28660, AT4G28750, AT4G34190, AT4G35250, AT5G02120, AT5G13630, AT5G23120, AT5G38410, AT5G38420, AT5G38430, AT5G44650, AT5G45930, AT5G47110, AT5G61410, AT5G64040, AT5G66190, ATCG00420, ATCG00520, ATCG00580, AT1G01790, AT4G04850, AT1G34000, AT1G43670, AT1G54780, AT1G55370, AT1G60600, AT1G60950, AT1G64150, AT1G64770, AT1G71500, AT3G01500, AT3G15850, AT3G16250, AT4G04640, AT4G18370, AT4G25910, AT4G33470, AT5G01920, AT5G08720, AT5G21930, AT5G24120, AT5G35220, AT5G49740, AT5G52100, AT3G04790, AT1G50250, AT1G70760, AT4G03280"
12,Downregulated,1.27E-43,74,148,7.19888279051626,Photosynthesis light reaction ,http://amigo.geneontology.org/amigo/term/GO:0019684,"AT1G03600, AT1G14150, AT1G15820, AT1G19150, AT1G29920, AT1G61520, AT1G75690, AT1G76570, AT2G01918, AT2G05070, AT2G05100, AT2G05620, AT2G30570, AT2G40100, AT3G01440, AT3G27690, AT3G47470, AT3G61470, AT4G09650, AT4G10340, AT4G21280, AT4G22890, AT5G28450, AT5G54270, AT1G08380, AT1G54500, AT1G55480, AT2G46820, AT5G66570, AT1G15980, AT1G18730, AT2G01590, AT3G50820, AT4G23890, AT5G44650, ATCG00420, ATCG00580, AT1G79040, AT1G16720, AT1G34000, AT1G54780, AT1G55370, AT1G55670, AT1G60600, AT1G60950, AT1G64150, AT1G64770, AT1G67740, AT1G71500, AT3G15850, AT3G16250, AT3G54050, AT4G04640, AT4G15510, AT4G18370, AT4G19100, AT4G25910, AT4G33470, AT4G35250, AT5G01920, AT5G02120, AT5G08720, AT5G21930, AT5G24120, AT5G35220, AT5G49740, AT5G52100, AT5G66190, AT2G21970, AT1G06680, AT1G50250, AT1G70760, AT4G03280, ATCG00520"
13,Downregulated,6.46E-22,96,494,3.14232950550738,Generation of precursor metabolites and energy ,http://amigo.geneontology.org/amigo/term/GO:0006091,"AT1G03600, AT1G13700, AT1G14150, AT1G15820, AT1G19150, AT1G29920, AT1G61520, AT1G75690, AT1G76570, AT2G01918, AT2G05070, AT2G05100, AT2G05620, AT2G21330, AT2G30570, AT2G40100, AT3G01440, AT3G12780, AT3G16250, AT3G27690, AT3G47470, AT3G61470, AT4G09650, AT4G10340, AT4G21280, AT4G22890, AT4G26520, AT4G26530, AT4G38970, AT5G17310, AT5G28450, AT5G35790, AT5G54270, AT5G58330, AT5G61410, ATCG00480, AT1G08380, AT1G54500, AT1G55480, AT2G46820, AT5G66570, AT1G10960, AT1G15980, AT1G18730, AT1G20340, AT1G32550, AT1G60950, AT2G01590, AT2G02850, AT3G04790, AT3G50820, AT4G12880, AT4G14890, AT4G23890, AT5G09660, AT5G19220, AT5G44520, AT5G44650, ATCG00420, ATCG00580, ATCG01010, AT1G79040, AT1G16720, AT1G34000, AT1G54780, AT1G55370, AT1G55670, AT1G60600, AT1G64150, AT1G64770, AT1G67740, AT1G71500, AT3G15850, AT3G54050, AT4G04640, AT4G15510, AT4G18370, AT4G19100, AT4G25910, AT4G33470, AT4G35250, AT5G01920, AT5G02120, AT5G08720, AT5G21930, AT5G24120, AT5G35220, AT5G49740, AT5G52100, AT5G66190, AT2G21970, AT1G06680, AT1G50250, AT1G70760, AT4G03280, ATCG00520"
14,Downregulated,5.02E-21,129,773,2.53469596191505,Response to light stimulus ,http://amigo.geneontology.org/amigo/term/GO:0009416,"AT1G15820, AT1G19150, AT1G29920, AT1G61520, AT1G76570, AT2G05070, AT2G05100, AT2G21320, AT2G31380, AT2G40100, AT2G42610, AT3G17609, AT3G23290, AT3G27690, AT3G47470, AT3G61470, AT4G10340, AT4G39070, AT5G23730, AT5G28450, AT5G54270, AT5G58760, AT5G63580, AT1G02340, AT1G70940, AT4G13670, AT4G32980, AT4G34530, AT5G43630, AT1G14280, AT1G18810, AT1G53090, AT1G69935, AT2G05620, AT2G21970, AT3G15354, AT3G52740, AT3G53920, AT3G59780, AT4G34550, AT5G04190, AT5G13730, AT5G23060, AT5G24120, AT1G07180, AT1G16880, AT1G22500, AT1G25450, AT1G31580, AT1G34000, AT1G42970, AT1G51400, AT1G66180, AT1G68010, AT1G68530, AT1G69530, AT1G75780, AT2G18010, AT2G26250, AT2G29090, AT2G39730, AT2G42540, AT2G42690, AT3G17040, AT3G21890, AT3G26650, AT3G30180, AT3G58850, AT3G62410, AT4G14400, AT4G14890, AT4G24230, AT4G25050, AT4G26150, AT4G32280, AT4G32770, AT4G32890, AT4G34190, AT4G34250, AT4G35090, AT4G37930, AT4G38860, AT5G02120, AT5G04140, AT5G35220, AT5G37770, AT5G43470, AT5G45340, AT5G49730, AT5G56860, AT5G67030, AT1G01060, AT2G46830, AT3G02730, AT5G16400, AT1G03600, AT1G10370, AT1G10470, AT1G26945, AT1G42550, AT1G44575, AT1G55480, AT1G56510, AT1G60950, AT1G66840, AT1G67740, AT1G73870, AT1G74730, AT1G75100, AT3G09600, AT3G15850, AT3G22420, AT3G44610, AT3G50820, AT3G51240, AT3G53310, AT3G62030, AT4G00050, AT4G03280, AT4G04850, AT5G08050, AT5G09530, AT5G15160, AT5G46110, AT5G47640, AT5G59920, AT5G64940, AT5G66570, AT3G47340"
15,Downregulated,2.6E-20,130,796,2.47397550700072,Response to radiation ,http://amigo.geneontology.org/amigo/term/GO:0009314,"AT1G15820, AT1G19150, AT1G29920, AT1G61520, AT1G76570, AT2G05070, AT2G05100, AT2G21320, AT2G31380, AT2G40100, AT2G42610, AT3G17609, AT3G23290, AT3G27690, AT3G47470, AT3G61470, AT4G10340, AT4G39070, AT5G23730, AT5G28450, AT5G54270, AT5G58760, AT5G63580, AT1G02340, AT1G70940, AT4G13670, AT4G32980, AT4G34530, AT5G43630, AT1G14280, AT1G18810, AT1G53090, AT1G69935, AT2G05620, AT2G21970, AT3G15354, AT3G52740, AT3G53920, AT3G59780, AT4G34550, AT5G04190, AT5G13730, AT5G23060, AT5G24120, AT1G07180, AT1G16880, AT1G22500, AT1G25450, AT1G31580, AT1G34000, AT1G42970, AT1G51400, AT1G66180, AT1G68010, AT1G68530, AT1G69530, AT1G75780, AT2G18010, AT2G26250, AT2G29090, AT2G39730, AT2G42540, AT2G42690, AT3G17040, AT3G21890, AT3G26650, AT3G30180, AT3G58850, AT3G62410, AT4G14400, AT4G14890, AT4G24230, AT4G25050, AT4G26150, AT4G32280, AT4G32770, AT4G32890, AT4G34190, AT4G34250, AT4G35090, AT4G37930, AT4G38860, AT5G02120, AT5G04140, AT5G06150, AT5G35220, AT5G37770, AT5G43470, AT5G45340, AT5G49730, AT5G56860, AT5G67030, AT1G01060, AT2G46830, AT3G02730, AT5G16400, AT1G03600, AT1G10370, AT1G10470, AT1G26945, AT1G42550, AT1G44575, AT1G55480, AT1G56510, AT1G60950, AT1G66840, AT1G67740, AT1G73870, AT1G74730, AT1G75100, AT3G09600, AT3G15850, AT3G22420, AT3G44610, AT3G50820, AT3G51240, AT3G53310, AT3G62030, AT4G00050, AT4G03280, AT4G04850, AT5G08050, AT5G09530, AT5G15160, AT5G46110, AT5G47640, AT5G59920, AT5G64940, AT5G66570, AT3G47340"
16,Downregulated,1.86E-19,31,55,7.98614800059023,Photosynthetic electron transport chain ,http://amigo.geneontology.org/amigo/term/GO:0009767,"AT1G14150, AT2G01918, AT2G05620, AT3G01440, AT4G09650, AT4G21280, AT4G22890, AT2G46820, AT1G15980, AT1G18730, AT2G01590, AT4G23890, ATCG00580, AT1G08380, AT1G55370, AT1G55670, AT1G60600, AT1G60950, AT1G64770, AT1G67740, AT3G15850, AT3G16250, AT3G50820, AT3G54050, AT4G04640, AT5G21930, AT5G49740, AT5G66190, AT5G66570, AT1G70760, AT4G03280"
17,Downregulated,2.67E-18,248,2170,1.75484025241861,Response to abiotic stimulus ,http://amigo.geneontology.org/amigo/term/GO:0009628,"AT1G13300, AT1G53840, AT1G61340, AT1G65490, AT1G66180, AT1G72910, AT2G41010, AT3G22550, AT3G46090, AT3G50440, AT3G55980, AT4G24230, AT4G24570, AT4G27450, AT4G27657, AT4G29780, AT4G30440, AT4G33560, AT5G19240, AT5G45340, AT5G57560, AT5G58120, AT1G01620, AT1G15820, AT1G19150, AT1G29920, AT1G61520, AT1G76570, AT2G01940, AT2G05070, AT2G05100, AT2G21320, AT2G31380, AT2G40100, AT2G42610, AT2G45960, AT3G17609, AT3G23290, AT3G24520, AT3G27690, AT3G47470, AT3G51910, AT3G61470, AT4G10340, AT4G21870, AT4G23400, AT4G39070, AT5G23730, AT5G28450, AT5G54270, AT5G58760, AT5G58770, AT5G63580, AT1G02340, AT1G17840, AT1G51500, AT1G70940, AT2G42540, AT4G13670, AT4G14540, AT4G32980, AT4G34530, AT5G43630, AT5G63650, AT1G14280, AT1G18810, AT1G53090, AT1G69935, AT2G05620, AT2G21970, AT3G15354, AT3G18490, AT3G52740, AT3G53920, AT3G59780, AT4G34550, AT5G04190, AT5G13730, AT5G23060, AT5G24120, AT5G65020, AT1G02820, AT1G03680, AT1G05690, AT1G07180, AT1G09340, AT1G13080, AT1G16880, AT1G21910, AT1G22190, AT1G22500, AT1G23310, AT1G23740, AT1G25450, AT1G31580, AT1G32060, AT1G34000, AT1G42970, AT1G51400, AT1G64670, AT1G65486, AT1G67090, AT1G68010, AT1G68530, AT1G69530, AT1G73330, AT1G75780, AT2G15970, AT2G18010, AT2G26250, AT2G29090, AT2G37170, AT2G37220, AT2G38530, AT2G39730, AT2G39800, AT2G42690, AT2G47180, AT3G01500, AT3G06510, AT3G11630, AT3G12780, AT3G16690, AT3G17040, AT3G20470, AT3G21890, AT3G26650, AT3G30180, AT3G45410, AT3G53420, AT3G54050, AT3G58850, AT3G62410, AT4G09650, AT4G14400, AT4G14890, AT4G24540, AT4G25050, AT4G25470, AT4G25490, AT4G26150, AT4G26520, AT4G32280, AT4G32770, AT4G32890, AT4G34190, AT4G34250, AT4G35090, AT4G37610, AT4G37930, AT4G38840, AT4G38860, AT5G02120, AT5G04140, AT5G06150, AT5G06290, AT5G20270, AT5G25610, AT5G35220, AT5G37770, AT5G40390, AT5G43470, AT5G47640, AT5G49730, AT5G56860, AT5G61410, AT5G65730, AT5G67030, AT5G67450, ATCG00480, AT1G01060, AT1G78290, AT2G46830, AT3G02730, AT4G24670, AT4G37590, AT5G16400, AT1G02730, AT1G03600, AT1G05140, AT1G10370, AT1G10470, AT1G12860, AT1G15690, AT1G20823, AT1G26945, AT1G32080, AT1G42550, AT1G44575, AT1G55480, AT1G56510, AT1G60950, AT1G66230, AT1G66840, AT1G67740, AT1G73870, AT1G74730, AT1G75100, AT1G77490, AT2G01420, AT2G01918, AT2G26330, AT2G32010, AT2G38120, AT2G46210, AT2G46810, AT3G02870, AT3G08920, AT3G09600, AT3G11170, AT3G15850, AT3G18870, AT3G22420, AT3G23050, AT3G28270, AT3G44610, AT3G45650, AT3G50820, AT3G51240, AT3G53310, AT3G62030, AT4G00050, AT4G03280, AT4G04850, AT4G12480, AT4G24770, AT4G26850, AT4G33000, AT4G34220, AT4G35920, AT5G02020, AT5G08050, AT5G09530, AT5G13650, AT5G15160, AT5G21100, AT5G26742, AT5G44650, AT5G46110, AT5G51110, AT5G53170, AT5G57345, AT5G59920, AT5G62470, AT5G64770, AT5G64940, AT5G66570, AT3G47340"
18,Downregulated,5.15E-14,22,37,8.2716162377517,Photosynthesis light harvesting ,http://amigo.geneontology.org/amigo/term/GO:0009765,"AT1G15820, AT1G19150, AT1G29920, AT1G61520, AT1G75690, AT1G76570, AT2G05070, AT2G05100, AT2G40100, AT3G27690, AT3G47470, AT3G61470, AT4G10340, AT5G28450, AT5G54270, AT1G08380, AT1G55480, AT1G03600, AT1G54780, AT4G18370, AT2G21970, AT1G50250"
19,Downregulated,2.98E-10,16,27,8.56083358872204,Photosystem II assembly ,http://amigo.geneontology.org/amigo/term/GO:0010207,"AT1G03600, AT1G54500, AT1G55480, AT3G50820, AT5G66570, AT1G79040, AT1G16720, AT1G34000, AT1G64150, AT1G71500, AT4G10340, AT4G19100, AT4G35250, AT5G02120, AT5G24120, AT5G35220"
20,Downregulated,3.65E-10,15,23,9.0726225532652,Photosynthesis light harvesting in photosystem I ,http://amigo.geneontology.org/amigo/term/GO:0009768,"AT1G15820, AT1G19150, AT1G29920, AT1G61520, AT1G76570, AT2G05070, AT2G05100, AT2G40100, AT3G27690, AT3G47470, AT3G61470, AT4G10340, AT5G28450, AT5G54270, AT1G08380"
