,group,FDR,nGenes,Pathway size,Fold enriched,Pathway,URL,Genes
11,Downregulated,9.41E-25,306,3091,1.78275129798866,Response to chemical ,http://amigo.geneontology.org/amigo/term/GO:0042221,"AT1G02360, AT1G03220, AT1G07135, AT1G07150, AT1G25550, AT1G30720, AT1G35140, AT1G50740, AT1G53840, AT1G61340, AT1G65490, AT1G68670, AT1G78070, AT1G78850, AT2G01180, AT2G13790, AT2G16060, AT2G22500, AT2G26190, AT2G32200, AT2G41090, AT2G41100, AT3G07350, AT3G49780, AT3G55980, AT3G56400, AT3G56880, AT3G60520, AT4G01250, AT4G12720, AT4G30280, AT4G34150, AT4G38470, AT5G03380, AT5G19120, AT5G19240, AT5G24530, AT5G57560, AT1G01620, AT1G20450, AT1G23080, AT1G32780, AT1G35710, AT1G69260, AT3G28910, AT3G29575, AT4G08850, AT4G30610, AT4G32870, AT5G14570, AT5G42250, AT5G44070, AT5G66400, AT3G48080, AT3G48090, AT1G08650, AT1G52827, AT1G73805, AT1G75750, AT2G19620, AT4G25480, AT4G26070, AT4G31550, AT5G26920, AT5G65310, AT1G04250, AT1G04310, AT1G05850, AT1G10360, AT1G10470, AT1G10560, AT1G13920, AT1G13930, AT1G15050, AT1G15580, AT1G19050, AT1G22810, AT1G26210, AT1G29430, AT1G29440, AT1G29450, AT1G29500, AT1G29510, AT1G29690, AT1G36060, AT1G37130, AT1G45207, AT1G51800, AT1G52830, AT1G63260, AT1G64380, AT1G65790, AT1G66140, AT1G66760, AT1G67590, AT1G70800, AT1G71695, AT1G74670, AT1G77760, AT1G79700, AT2G14900, AT2G18300, AT2G20880, AT2G21210, AT2G22430, AT2G23340, AT2G34060, AT2G37030, AT2G38120, AT2G38750, AT2G39250, AT2G40750, AT2G42870, AT2G44940, AT2G46310, AT3G03820, AT3G03840, AT3G03850, AT3G11410, AT3G15540, AT3G16770, AT3G22231, AT3G23050, AT3G28860, AT3G32980, AT3G48100, AT3G48360, AT3G49260, AT3G57040, AT3G58850, AT3G59900, AT4G14560, AT4G17490, AT4G23750, AT4G28140, AT4G30410, AT4G32280, AT4G34760, AT4G34770, AT4G34790, AT4G38850, AT4G38860, AT5G01240, AT5G03470, AT5G08150, AT5G11590, AT5G12050, AT5G14920, AT5G15230, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G24470, AT5G25190, AT5G25980, AT5G26000, AT5G26230, AT5G39580, AT5G39860, AT5G43700, AT5G44050, AT5G44210, AT5G51890, AT5G52050, AT5G52310, AT5G52900, AT5G60100, AT5G61380, AT5G62920, AT5G63160, AT5G64120, AT5G67450, AT1G02820, AT1G05630, AT1G07600, AT1G12010, AT1G12420, AT1G16370, AT1G17420, AT1G29395, AT1G29910, AT1G29920, AT1G42990, AT1G51400, AT1G56300, AT1G65390, AT1G65486, AT1G65510, AT1G68560, AT1G69040, AT1G79440, AT1G80840, AT2G05070, AT2G05100, AT2G06050, AT2G06850, AT2G15620, AT2G15970, AT2G17840, AT2G21660, AT2G26980, AT2G28900, AT2G32020, AT2G32690, AT2G33580, AT2G36390, AT2G37710, AT2G39800, AT2G40610, AT2G42530, AT2G46270, AT3G05640, AT3G11820, AT3G14930, AT3G20470, AT3G22060, AT3G27690, AT3G47340, AT3G47860, AT3G50660, AT3G51450, AT3G53730, AT3G62930, AT3G62950, AT4G02330, AT4G04330, AT4G04695, AT4G11890, AT4G15660, AT4G15680, AT4G15690, AT4G15700, AT4G16780, AT4G23060, AT4G23130, AT4G23170, AT4G23810, AT4G24670, AT4G24960, AT4G27440, AT4G28720, AT4G30290, AT4G32880, AT4G33980, AT4G37220, AT5G03350, AT5G05300, AT5G08760, AT5G15970, AT5G24030, AT5G24110, AT5G40390, AT5G44568, AT5G46050, AT5G47370, AT5G50915, AT5G54190, AT5G54270, AT5G54610, AT5G58670, AT5G59220, AT5G59310, AT5G59320, AT5G62070, AT5G64770, AT5G65730, AT3G01500, AT3G05800, AT3G51670, AT4G09160, AT5G38990, AT5G39020, AT1G02205, AT1G07430, AT1G09530, AT1G30755, AT1G32540, AT1G32560, AT1G51940, AT1G52340, AT2G03760, AT2G32680, AT2G34070, AT2G34620, AT2G47780, AT3G13437, AT3G14440, AT3G17510, AT3G29320, AT3G51920, AT3G55450, AT3G63060, AT4G13540, AT4G24275, AT4G34220, AT5G05190, AT5G05860, AT5G13240, AT5G22570, AT5G40890, AT5G45830, AT1G69530, AT2G37640, AT3G05880"
12,Downregulated,3.24E-19,217,2051,1.89344835815376,Response to organic substance ,http://amigo.geneontology.org/amigo/term/GO:0010033,"AT1G20450, AT1G23080, AT1G32780, AT1G35710, AT1G69260, AT3G28910, AT3G29575, AT4G08850, AT4G30610, AT4G32870, AT5G42250, AT5G66400, AT3G48080, AT3G48090, AT1G08650, AT1G73805, AT1G75750, AT2G19620, AT3G56400, AT4G26070, AT4G31550, AT5G26920, AT5G65310, AT1G04250, AT1G04310, AT1G05850, AT1G10470, AT1G10560, AT1G13930, AT1G15050, AT1G15580, AT1G19050, AT1G22810, AT1G26210, AT1G29430, AT1G29440, AT1G29450, AT1G29500, AT1G29510, AT1G29690, AT1G36060, AT1G51800, AT1G52830, AT1G63260, AT1G64380, AT1G65790, AT1G66140, AT1G70800, AT1G74670, AT1G79700, AT2G14900, AT2G18300, AT2G20880, AT2G21210, AT2G22430, AT2G23340, AT2G37030, AT2G38120, AT2G39250, AT2G40750, AT2G42870, AT2G44940, AT2G46310, AT3G03820, AT3G03840, AT3G03850, AT3G11410, AT3G15540, AT3G16770, AT3G22231, AT3G23050, AT3G28860, AT3G48100, AT3G48360, AT3G49260, AT3G57040, AT3G58850, AT3G59900, AT4G14560, AT4G17490, AT4G23750, AT4G28140, AT4G30410, AT4G32280, AT4G34760, AT4G34770, AT4G34790, AT4G38850, AT4G38860, AT5G01240, AT5G03470, AT5G08150, AT5G11590, AT5G12050, AT5G14920, AT5G15230, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G24470, AT5G25190, AT5G25980, AT5G26000, AT5G26230, AT5G39860, AT5G43700, AT5G44210, AT5G52310, AT5G52900, AT5G60100, AT5G61380, AT5G62920, AT5G63160, AT5G67450, AT1G05630, AT1G12010, AT1G12420, AT1G17420, AT1G29395, AT1G29910, AT1G29920, AT1G42990, AT1G56300, AT1G61340, AT1G65390, AT1G65510, AT1G69040, AT1G80840, AT2G06850, AT2G15970, AT2G17840, AT2G26980, AT2G28900, AT2G32020, AT2G32690, AT2G33580, AT2G36390, AT2G37710, AT2G42530, AT2G46270, AT3G11820, AT3G20470, AT3G22060, AT3G47340, AT3G47860, AT3G50660, AT3G51450, AT4G02330, AT4G04695, AT4G11890, AT4G16780, AT4G23060, AT4G23130, AT4G23170, AT4G23810, AT4G24670, AT4G24960, AT4G27440, AT4G28720, AT4G30290, AT4G32880, AT4G33980, AT4G37220, AT4G38470, AT5G03350, AT5G08760, AT5G15970, AT5G24110, AT5G24530, AT5G44568, AT5G46050, AT5G47370, AT5G50915, AT5G52050, AT5G54190, AT5G54610, AT5G57560, AT5G59220, AT5G59310, AT5G59320, AT5G64770, AT2G13790, AT3G01500, AT3G05800, AT3G51670, AT4G09160, AT1G07430, AT1G09530, AT1G30755, AT1G51940, AT1G52340, AT1G68670, AT2G03760, AT2G05070, AT2G26190, AT2G32680, AT2G34070, AT2G38750, AT3G17510, AT3G51920, AT3G55450, AT3G63060, AT4G34220, AT5G05190, AT5G05860, AT5G13240, AT5G22570, AT5G45830, AT5G54270, AT5G58670, AT2G05100, AT3G27690, AT1G69530, AT2G37640, AT3G05880"
13,Downregulated,2.64E-18,180,1639,2.01454379364641,Response to hormone ,http://amigo.geneontology.org/amigo/term/GO:0009725,"AT1G20450, AT1G23080, AT1G35710, AT1G69260, AT3G28910, AT3G29575, AT4G08850, AT4G30610, AT4G32870, AT5G66400, AT1G75750, AT2G19620, AT4G31550, AT5G65310, AT1G04250, AT1G04310, AT1G05850, AT1G10470, AT1G10560, AT1G13930, AT1G15050, AT1G15580, AT1G19050, AT1G22810, AT1G26210, AT1G29430, AT1G29440, AT1G29450, AT1G29500, AT1G29510, AT1G36060, AT1G51800, AT1G52830, AT1G63260, AT1G64380, AT1G65790, AT1G66140, AT1G70800, AT1G74670, AT1G79700, AT2G14900, AT2G18300, AT2G20880, AT2G21210, AT2G22430, AT2G23340, AT2G37030, AT2G38120, AT2G39250, AT2G40750, AT2G42870, AT2G44940, AT2G46310, AT3G03820, AT3G03840, AT3G03850, AT3G11410, AT3G15540, AT3G16770, AT3G22231, AT3G23050, AT3G28860, AT3G48100, AT3G49260, AT3G56400, AT3G57040, AT3G58850, AT3G59900, AT4G14560, AT4G17490, AT4G23750, AT4G28140, AT4G30410, AT4G32280, AT4G34760, AT4G34770, AT4G34790, AT4G38850, AT4G38860, AT5G01240, AT5G03470, AT5G08150, AT5G11590, AT5G12050, AT5G14920, AT5G15230, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G24470, AT5G25190, AT5G25980, AT5G26000, AT5G26230, AT5G26920, AT5G39860, AT5G43700, AT5G44210, AT5G52310, AT5G52900, AT5G60100, AT5G61380, AT5G62920, AT5G67450, AT1G05630, AT1G12420, AT1G17420, AT1G29395, AT1G61340, AT1G65390, AT1G69040, AT2G06850, AT2G15970, AT2G17840, AT2G26980, AT2G28900, AT2G32020, AT2G32690, AT2G42530, AT2G46270, AT3G11820, AT3G20470, AT3G22060, AT3G47860, AT3G48360, AT3G50660, AT3G51450, AT4G02330, AT4G11890, AT4G16780, AT4G23060, AT4G24670, AT4G24960, AT4G27440, AT4G28720, AT4G30290, AT4G32880, AT4G33980, AT4G38470, AT5G15970, AT5G46050, AT5G47370, AT5G50915, AT5G52050, AT5G54190, AT5G57560, AT5G59220, AT5G59310, AT5G59320, AT5G63160, AT5G64770, AT2G13790, AT3G05800, AT3G51670, AT4G09160, AT1G07430, AT1G09530, AT1G30755, AT1G51940, AT1G68670, AT2G05070, AT2G26190, AT2G34070, AT2G38750, AT3G17510, AT3G51920, AT3G63060, AT4G23810, AT4G34220, AT5G05860, AT5G45830, AT5G54270, AT5G58670, AT2G05100, AT3G27690, AT1G69530, AT2G37640, AT3G05880"
14,Downregulated,6.72E-18,181,1669,1.98759730513617,Response to endogenous stimulus ,http://amigo.geneontology.org/amigo/term/GO:0009719,"AT1G20450, AT1G23080, AT1G35710, AT1G69260, AT3G28910, AT3G29575, AT4G08850, AT4G30610, AT4G32870, AT5G66400, AT1G75750, AT2G19620, AT4G31550, AT5G65310, AT1G04250, AT1G04310, AT1G05850, AT1G10470, AT1G10560, AT1G13930, AT1G15050, AT1G15580, AT1G19050, AT1G22810, AT1G26210, AT1G29430, AT1G29440, AT1G29450, AT1G29500, AT1G29510, AT1G36060, AT1G51800, AT1G52830, AT1G63260, AT1G64380, AT1G65790, AT1G66140, AT1G70800, AT1G74670, AT1G79700, AT2G14900, AT2G18300, AT2G20880, AT2G21210, AT2G22430, AT2G23340, AT2G37030, AT2G38120, AT2G39250, AT2G40750, AT2G42870, AT2G44940, AT2G46310, AT3G03820, AT3G03840, AT3G03850, AT3G11410, AT3G15540, AT3G16770, AT3G22231, AT3G23050, AT3G28860, AT3G48100, AT3G49260, AT3G56400, AT3G57040, AT3G58850, AT3G59900, AT4G14560, AT4G17490, AT4G23750, AT4G28140, AT4G30410, AT4G32280, AT4G34760, AT4G34770, AT4G34790, AT4G38850, AT4G38860, AT5G01240, AT5G03470, AT5G08150, AT5G11590, AT5G12050, AT5G14920, AT5G15230, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G24470, AT5G25190, AT5G25980, AT5G26000, AT5G26230, AT5G26920, AT5G39860, AT5G43700, AT5G44210, AT5G52310, AT5G52900, AT5G60100, AT5G61380, AT5G62920, AT5G67450, AT1G05630, AT1G12420, AT1G17420, AT1G29395, AT1G61340, AT1G65390, AT1G69040, AT2G06850, AT2G15970, AT2G17840, AT2G26980, AT2G28900, AT2G32020, AT2G32690, AT2G33580, AT2G42530, AT2G46270, AT3G11820, AT3G20470, AT3G22060, AT3G47860, AT3G48360, AT3G50660, AT3G51450, AT4G02330, AT4G11890, AT4G16780, AT4G23060, AT4G24670, AT4G24960, AT4G27440, AT4G28720, AT4G30290, AT4G32880, AT4G33980, AT4G38470, AT5G15970, AT5G46050, AT5G47370, AT5G50915, AT5G52050, AT5G54190, AT5G57560, AT5G59220, AT5G59310, AT5G59320, AT5G63160, AT5G64770, AT2G13790, AT3G05800, AT3G51670, AT4G09160, AT1G07430, AT1G09530, AT1G30755, AT1G51940, AT1G68670, AT2G05070, AT2G26190, AT2G34070, AT2G38750, AT3G17510, AT3G51920, AT3G63060, AT4G23810, AT4G34220, AT5G05860, AT5G45830, AT5G54270, AT5G58670, AT2G05100, AT3G27690, AT1G69530, AT2G37640, AT3G05880"
15,Downregulated,7.85E-17,19,23,12.5276400887504,Photosynthesis light harvesting in photosystem I ,http://amigo.geneontology.org/amigo/term/GO:0009768,"AT1G15820, AT1G19150, AT1G29910, AT1G29920, AT1G29930, AT2G05070, AT2G05100, AT2G34420, AT2G34430, AT3G08940, AT3G27690, AT3G47470, AT3G54890, AT3G61470, AT4G10340, AT5G01530, AT5G28450, AT5G54270, AT1G08380"
16,Downregulated,7.85E-17,187,1791,1.90967145212531,Cellular response to chemical stimulus ,http://amigo.geneontology.org/amigo/term/GO:0070887,"AT1G02360, AT1G03220, AT1G07135, AT1G07150, AT1G25550, AT1G30720, AT1G35140, AT1G50740, AT1G53840, AT1G61340, AT1G65490, AT1G68670, AT1G78070, AT1G78850, AT2G01180, AT2G13790, AT2G16060, AT2G22500, AT2G26190, AT2G32200, AT2G41090, AT2G41100, AT3G07350, AT3G49780, AT3G55980, AT3G56400, AT3G56880, AT3G60520, AT4G01250, AT4G12720, AT4G30280, AT4G34150, AT4G38470, AT5G03380, AT5G19120, AT5G19240, AT5G24530, AT5G57560, AT1G23080, AT1G32780, AT1G35710, AT4G08850, AT4G30610, AT4G32870, AT5G14570, AT5G42250, AT5G44070, AT3G48080, AT3G48090, AT4G31550, AT1G04250, AT1G04310, AT1G05850, AT1G10470, AT1G10560, AT1G13930, AT1G15050, AT1G15580, AT1G19050, AT1G22810, AT1G26210, AT1G29430, AT1G29440, AT1G29450, AT1G29500, AT1G29510, AT1G29690, AT1G36060, AT1G51800, AT1G52830, AT1G63260, AT1G64380, AT1G65790, AT1G66140, AT1G70800, AT1G71695, AT1G74670, AT1G75750, AT1G79700, AT2G14900, AT2G18300, AT2G20880, AT2G22430, AT2G23340, AT2G34060, AT2G38120, AT2G39250, AT2G40750, AT2G42870, AT2G44940, AT2G46310, AT3G03820, AT3G03840, AT3G03850, AT3G11410, AT3G15540, AT3G16770, AT3G22231, AT3G23050, AT3G28860, AT3G32980, AT3G48100, AT3G49260, AT3G57040, AT3G58850, AT4G14560, AT4G17490, AT4G23750, AT4G28140, AT4G30410, AT4G32280, AT4G34760, AT4G38850, AT5G01240, AT5G03470, AT5G08150, AT5G11590, AT5G12050, AT5G14920, AT5G15230, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G24470, AT5G25190, AT5G25980, AT5G26000, AT5G26230, AT5G26920, AT5G39580, AT5G39860, AT5G43700, AT5G44210, AT5G51890, AT5G52900, AT5G60100, AT5G61380, AT5G62920, AT5G64120, AT5G67450, AT1G12010, AT1G16370, AT1G29395, AT1G42990, AT1G65390, AT2G15970, AT2G33580, AT2G36390, AT3G59900, AT4G30290, AT5G03350, AT5G47370, AT5G50915, AT3G05800, AT3G50660, AT3G51670, AT4G09160, AT4G28720, AT5G59220, AT1G05630, AT1G07430, AT1G09530, AT1G32540, AT1G51940, AT2G05070, AT2G34070, AT2G34620, AT3G48360, AT3G63060, AT4G11890, AT4G13540, AT4G23810, AT4G34220, AT5G05190, AT5G05860, AT5G22570, AT5G45830, AT1G52827, AT2G05100, AT3G27690, AT1G52340, AT1G69260, AT2G26980, AT5G58670, AT5G65310"
17,Downregulated,2.28E-15,183,1679,1.86505507687997,Response to oxygen-containing compound ,http://amigo.geneontology.org/amigo/term/GO:1901700,"AT1G01620, AT1G20450, AT1G32780, AT1G69260, AT3G29575, AT4G30610, AT4G32870, AT5G14570, AT5G42250, AT5G66400, AT3G48080, AT3G48090, AT1G08650, AT1G75750, AT2G19620, AT3G56400, AT4G25480, AT4G26070, AT4G31550, AT5G65310, AT1G10560, AT1G13920, AT1G13930, AT1G29690, AT1G45207, AT1G51800, AT1G65790, AT1G66140, AT1G67590, AT1G70800, AT1G74670, AT2G14900, AT2G18300, AT2G22430, AT2G38750, AT2G40750, AT2G42870, AT3G11410, AT3G22231, AT3G48360, AT3G49260, AT3G56880, AT3G58850, AT4G30410, AT5G03470, AT5G14920, AT5G15230, AT5G25980, AT5G26000, AT5G26230, AT5G26920, AT5G39860, AT5G52310, AT5G52900, AT5G63160, AT5G67450, AT1G02820, AT1G05630, AT1G12010, AT1G12420, AT1G16370, AT1G17420, AT1G29395, AT1G29910, AT1G29920, AT1G51400, AT1G61340, AT1G65390, AT1G65486, AT1G65510, AT1G80840, AT2G05070, AT2G05100, AT2G06050, AT2G15620, AT2G15970, AT2G17840, AT2G20880, AT2G21210, AT2G21660, AT2G26980, AT2G28900, AT2G32020, AT2G32690, AT2G33580, AT2G36390, AT2G37710, AT2G39800, AT2G42530, AT2G46270, AT3G05640, AT3G11820, AT3G16770, AT3G20470, AT3G22060, AT3G23050, AT3G27690, AT3G47340, AT3G47860, AT3G50660, AT3G51450, AT3G53730, AT3G62930, AT3G62950, AT4G02330, AT4G04330, AT4G04695, AT4G11890, AT4G12720, AT4G15660, AT4G15680, AT4G15690, AT4G15700, AT4G17490, AT4G23060, AT4G23130, AT4G23170, AT4G23810, AT4G24960, AT4G33980, AT4G34760, AT4G37220, AT4G38470, AT4G38860, AT5G03350, AT5G05300, AT5G08760, AT5G15970, AT5G24030, AT5G24110, AT5G24530, AT5G40390, AT5G44568, AT5G46050, AT5G50915, AT5G52050, AT5G54610, AT5G57560, AT5G58670, AT5G59220, AT5G59310, AT5G59320, AT5G65730, AT2G13790, AT3G01500, AT3G05800, AT4G28720, AT1G02205, AT1G05850, AT1G07430, AT1G09530, AT1G22810, AT1G30755, AT1G32540, AT1G32560, AT1G36060, AT1G51940, AT1G52340, AT1G68670, AT2G03760, AT2G26190, AT2G32680, AT2G34070, AT2G47780, AT3G13437, AT3G14440, AT3G17510, AT3G29320, AT3G51920, AT3G63060, AT4G13540, AT4G24275, AT4G34220, AT5G05190, AT5G05860, AT5G13240, AT5G22570, AT5G40890, AT5G45830, AT5G54270, AT1G69530, AT2G37640, AT3G05880"
18,Downregulated,1.25E-13,122,1076,2.12414998423069,Cellular response to hormone stimulus ,http://amigo.geneontology.org/amigo/term/GO:0032870,"AT1G23080, AT1G35710, AT4G08850, AT4G30610, AT4G32870, AT4G31550, AT1G04250, AT1G04310, AT1G05850, AT1G10470, AT1G10560, AT1G13930, AT1G15050, AT1G15580, AT1G19050, AT1G22810, AT1G26210, AT1G29430, AT1G29440, AT1G29450, AT1G29500, AT1G29510, AT1G36060, AT1G51800, AT1G52830, AT1G63260, AT1G64380, AT1G65790, AT1G66140, AT1G70800, AT1G74670, AT1G75750, AT1G79700, AT2G14900, AT2G18300, AT2G20880, AT2G22430, AT2G23340, AT2G38120, AT2G39250, AT2G40750, AT2G42870, AT2G44940, AT2G46310, AT3G03820, AT3G03840, AT3G03850, AT3G11410, AT3G15540, AT3G16770, AT3G22231, AT3G23050, AT3G28860, AT3G48100, AT3G49260, AT3G56400, AT3G57040, AT3G58850, AT4G14560, AT4G17490, AT4G23750, AT4G28140, AT4G30410, AT4G32280, AT4G34760, AT4G38850, AT5G01240, AT5G03470, AT5G08150, AT5G11590, AT5G12050, AT5G14920, AT5G15230, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G24470, AT5G25190, AT5G25980, AT5G26000, AT5G26230, AT5G26920, AT5G39860, AT5G43700, AT5G44210, AT5G52900, AT5G60100, AT5G61380, AT5G62920, AT5G67450, AT1G65390, AT3G59900, AT4G30290, AT5G47370, AT5G50915, AT2G13790, AT3G05800, AT3G50660, AT3G51670, AT4G09160, AT4G28720, AT5G59220, AT1G07430, AT1G09530, AT1G51940, AT2G05070, AT2G34070, AT3G48360, AT3G63060, AT4G11890, AT4G23810, AT4G34220, AT5G05860, AT5G45830, AT2G05100, AT3G27690, AT1G69260, AT2G26980, AT5G58670, AT5G65310"
19,Downregulated,4.65E-13,123,1107,2.07717112947339,Cellular response to endogenous stimulus ,http://amigo.geneontology.org/amigo/term/GO:0071495,"AT1G23080, AT1G35710, AT4G08850, AT4G30610, AT4G32870, AT4G31550, AT1G04250, AT1G04310, AT1G05850, AT1G10470, AT1G10560, AT1G13930, AT1G15050, AT1G15580, AT1G19050, AT1G22810, AT1G26210, AT1G29430, AT1G29440, AT1G29450, AT1G29500, AT1G29510, AT1G36060, AT1G51800, AT1G52830, AT1G63260, AT1G64380, AT1G65790, AT1G66140, AT1G70800, AT1G74670, AT1G75750, AT1G79700, AT2G14900, AT2G18300, AT2G20880, AT2G22430, AT2G23340, AT2G38120, AT2G39250, AT2G40750, AT2G42870, AT2G44940, AT2G46310, AT3G03820, AT3G03840, AT3G03850, AT3G11410, AT3G15540, AT3G16770, AT3G22231, AT3G23050, AT3G28860, AT3G48100, AT3G49260, AT3G56400, AT3G57040, AT3G58850, AT4G14560, AT4G17490, AT4G23750, AT4G28140, AT4G30410, AT4G32280, AT4G34760, AT4G38850, AT5G01240, AT5G03470, AT5G08150, AT5G11590, AT5G12050, AT5G14920, AT5G15230, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G24470, AT5G25190, AT5G25980, AT5G26000, AT5G26230, AT5G26920, AT5G39860, AT5G43700, AT5G44210, AT5G52900, AT5G60100, AT5G61380, AT5G62920, AT5G67450, AT1G65390, AT2G33580, AT3G59900, AT4G30290, AT5G47370, AT5G50915, AT2G13790, AT3G05800, AT3G50660, AT3G51670, AT4G09160, AT4G28720, AT5G59220, AT1G07430, AT1G09530, AT1G51940, AT2G05070, AT2G34070, AT3G48360, AT3G63060, AT4G11890, AT4G23810, AT4G34220, AT5G05860, AT5G45830, AT2G05100, AT3G27690, AT1G69260, AT2G26980, AT5G58670, AT5G65310"
20,Downregulated,2.13E-12,114,1014,2.10318045285591,Hormone-mediated signaling pathway ,http://amigo.geneontology.org/amigo/term/GO:0009755,"AT1G23080, AT1G35710, AT4G08850, AT4G30610, AT4G32870, AT4G31550, AT1G04250, AT1G04310, AT1G05850, AT1G10470, AT1G10560, AT1G13930, AT1G15050, AT1G15580, AT1G19050, AT1G22810, AT1G26210, AT1G29430, AT1G29440, AT1G29450, AT1G29500, AT1G29510, AT1G36060, AT1G51800, AT1G52830, AT1G63260, AT1G64380, AT1G65790, AT1G66140, AT1G70800, AT1G74670, AT1G75750, AT1G79700, AT2G14900, AT2G18300, AT2G20880, AT2G22430, AT2G23340, AT2G38120, AT2G39250, AT2G40750, AT2G42870, AT2G44940, AT2G46310, AT3G03820, AT3G03840, AT3G03850, AT3G11410, AT3G15540, AT3G16770, AT3G22231, AT3G23050, AT3G28860, AT3G48100, AT3G49260, AT3G56400, AT3G57040, AT3G58850, AT4G14560, AT4G17490, AT4G23750, AT4G28140, AT4G30410, AT4G32280, AT4G34760, AT4G38850, AT5G01240, AT5G03470, AT5G08150, AT5G11590, AT5G12050, AT5G14920, AT5G15230, AT5G18020, AT5G18030, AT5G18050, AT5G18060, AT5G18080, AT5G24470, AT5G25190, AT5G25980, AT5G26000, AT5G26230, AT5G26920, AT5G39860, AT5G43700, AT5G44210, AT5G52900, AT5G60100, AT5G61380, AT5G62920, AT5G67450, AT1G65390, AT5G47370, AT2G13790, AT3G05800, AT3G50660, AT4G28720, AT5G59220, AT1G07430, AT1G09530, AT1G51940, AT2G34070, AT3G48360, AT3G63060, AT4G11890, AT4G23810, AT4G34220, AT5G05860, AT5G45830, AT1G69260, AT2G26980, AT5G58670, AT5G65310"
