,group,FDR,nGenes,Pathway size,Fold enriched,Pathway,URL,Genes
1,Upregulated,1.05E-10,139,3091,1.81911396793568,Response to chemical ,http://amigo.geneontology.org/amigo/term/GO:0042221,"AT1G67360, AT1G68620, AT1G73010, AT1G73500, AT1G77120, AT2G36800, AT3G03270, AT3G24500, AT3G25250, AT3G46080, AT4G01360, AT4G11660, AT5G12030, AT5G59820, AT1G12110, AT1G12940, AT1G30135, AT1G60740, AT1G65970, AT1G74650, AT2G34600, AT2G40330, AT2G41370, AT3G09440, AT3G12580, AT3G16360, AT3G44300, AT3G53230, AT3G53600, AT4G24120, AT4G26120, AT5G02490, AT5G09590, AT5G13220, AT2G47000, AT4G15910, AT5G66350, AT1G03840, AT1G06160, AT1G15520, AT1G17170, AT1G17180, AT1G28360, AT1G31770, AT1G33090, AT1G43160, AT1G52570, AT1G54160, AT1G58340, AT1G69920, AT1G69930, AT2G04050, AT2G15490, AT2G17500, AT2G29420, AT2G29460, AT2G29470, AT2G29480, AT2G29490, AT2G41230, AT2G46140, AT2G46670, AT3G16500, AT3G21560, AT3G23560, AT3G25890, AT3G58070, AT4G08770, AT4G08780, AT4G16750, AT4G23030, AT4G29210, AT4G37610, AT5G02780, AT5G06730, AT5G10970, AT5G17220, AT5G19890, AT5G20810, AT5G21960, AT5G40990, AT5G43410, AT5G50760, AT5G51060, AT5G60870, AT5G61590, AT5G64750, AT5G65510, AT1G05680, AT1G20640, AT1G21140, AT1G22160, AT1G26380, AT1G29290, AT1G48000, AT1G53885, AT1G55020, AT1G56600, AT1G61800, AT1G70170, AT1G76350, AT2G16770, AT2G43140, AT2G47180, AT3G22600, AT3G59690, AT4G02930, AT4G10380, AT4G21680, AT4G21830, AT4G22880, AT4G24130, AT4G25380, AT4G25420, AT4G31970, AT4G34590, AT4G37290, AT4G37710, AT4G39950, AT5G01600, AT5G07010, AT5G12420, AT5G36970, AT5G43890, AT5G44610, AT5G54060, AT5G57510, AT5G64900, AT5G64905, AT2G38240, AT3G55970, AT1G33560, AT1G68765, AT2G04030, AT4G04490, AT5G13750, AT5G56550, AT5G59780, AT2G22240"
2,Upregulated,1.36E-07,30,340,3.91561536305018,Response to toxic substance ,http://amigo.geneontology.org/amigo/term/GO:0009636,"AT1G77120, AT3G44300, AT2G36800, AT1G12110, AT1G17170, AT1G17180, AT1G33090, AT1G58340, AT1G60740, AT1G65970, AT1G69920, AT1G69930, AT2G04050, AT2G15490, AT2G29420, AT2G29460, AT2G29470, AT2G29480, AT2G29490, AT3G21560, AT3G23560, AT4G08770, AT4G08780, AT4G23030, AT4G29210, AT5G02780, AT5G06730, AT5G17220, AT5G19890, AT5G51060"
3,Upregulated,5.61E-07,149,3953,1.56178836772983,Response to stress ,http://amigo.geneontology.org/amigo/term/GO:0006950,"AT1G67360, AT1G68620, AT1G73010, AT1G73500, AT1G77120, AT2G36800, AT3G03270, AT3G24500, AT3G25250, AT3G46080, AT4G01360, AT4G11660, AT5G12030, AT5G59820, AT1G30135, AT1G60740, AT1G61440, AT1G65970, AT2G16900, AT2G24490, AT2G34600, AT2G41370, AT3G06420, AT3G09440, AT3G12580, AT3G53230, AT3G60120, AT4G11650, AT4G26120, AT4G31950, AT4G31970, AT5G02490, AT5G09590, AT5G13220, AT5G16960, AT5G16980, AT5G21140, AT5G40990, AT5G52640, AT5G60870, AT3G05690, AT4G28460, AT5G38900, AT5G64900, AT1G12110, AT1G15520, AT1G23120, AT1G28360, AT1G29290, AT1G31770, AT1G33560, AT1G43160, AT1G43910, AT1G55020, AT1G56600, AT1G63220, AT1G72890, AT1G75830, AT2G30770, AT2G35980, AT2G38240, AT2G45760, AT2G46140, AT2G47180, AT3G06490, AT3G22600, AT3G26470, AT3G55470, AT3G55970, AT4G08770, AT4G08780, AT4G21830, AT4G25630, AT4G33720, AT4G37290, AT4G37610, AT5G06730, AT5G18350, AT5G19890, AT5G43580, AT5G64890, AT5G64905, AT5G65040, AT1G05680, AT1G12200, AT1G22160, AT1G26380, AT1G51760, AT1G52030, AT1G52410, AT1G53885, AT1G58340, AT1G70170, AT2G04030, AT2G44670, AT3G03520, AT3G22840, AT3G23990, AT3G44550, AT3G53600, AT4G04955, AT4G15910, AT4G22880, AT4G25380, AT4G37710, AT4G39950, AT5G01600, AT5G10300, AT5G12420, AT5G36970, AT5G44380, AT5G44610, AT5G45380, AT5G56550, AT5G57510, AT5G61590, AT5G64750, AT1G01060, AT1G23010, AT3G53160, AT5G65510, AT1G06160, AT1G07260, AT1G20380, AT1G35910, AT1G54160, AT1G55760, AT1G68765, AT1G80130, AT2G21320, AT2G22240, AT2G29460, AT2G41230, AT2G43000, AT2G45220, AT3G08970, AT3G09350, AT3G20340, AT3G48850, AT4G12400, AT4G18360, AT4G34530, AT4G34590, AT5G13080, AT5G13750, AT5G21280, AT5G43410, AT5G48570, AT5G53420"
4,Upregulated,1.56E-06,13,60,8.20103884372177,Toxin metabolic process ,http://amigo.geneontology.org/amigo/term/GO:0009404,"AT1G73500, AT1G17170, AT1G17180, AT1G69920, AT1G69930, AT2G29420, AT2G29460, AT2G29470, AT2G29480, AT2G29490, AT2G43000, AT4G39950, AT5G17220"
5,Upregulated,1.56E-06,30,396,3.40658536585366,Secondary metabolic process ,http://amigo.geneontology.org/amigo/term/GO:0019748,"AT3G44550, AT3G60120, AT4G34230, AT4G37990, AT1G73500, AT5G23020, AT1G17170, AT1G17180, AT1G67980, AT1G69920, AT1G69930, AT2G29420, AT2G29460, AT2G29470, AT2G29480, AT2G29490, AT3G13650, AT3G21240, AT4G14090, AT3G53160, AT1G61810, AT1G61820, AT2G43000, AT3G11580, AT3G21560, AT4G22880, AT4G38620, AT5G61590, AT4G39950, AT5G17220"
6,Upregulated,2.65E-06,25,299,3.81904188997047,Detoxification ,http://amigo.geneontology.org/amigo/term/GO:0098754,"AT1G77120, AT3G44300, AT2G36800, AT1G17170, AT1G17180, AT1G33090, AT1G58340, AT1G60740, AT1G65970, AT1G69920, AT1G69930, AT2G04050, AT2G29420, AT2G29460, AT2G29470, AT2G29480, AT2G29490, AT3G23560, AT4G08770, AT4G08780, AT4G23030, AT5G06730, AT5G19890, AT5G51060, AT5G17220"
7,Upregulated,4.01E-05,10,46,8.51646341463415,Toxin catabolic process ,http://amigo.geneontology.org/amigo/term/GO:0009407,"AT1G17170, AT1G17180, AT1G69920, AT1G69930, AT2G29420, AT2G29460, AT2G29470, AT2G29480, AT2G29490, AT5G17220"
8,Upregulated,4.88E-05,9,33,9.58102134146341,Anthocyanin-containing compound biosynthetic process ,http://amigo.geneontology.org/amigo/term/GO:0009718,"AT5G42800, AT4G14090, AT4G22880, AT1G66370, AT1G66380, AT1G70000, AT2G43000, AT3G21560, AT5G54060"
9,Upregulated,6.53E-05,12,77,6.28908067542214,Flavonoid biosynthetic process ,http://amigo.geneontology.org/amigo/term/GO:0009813,"AT5G42800, AT4G14090, AT4G22880, AT5G54060, AT5G63580, AT1G66370, AT1G66380, AT1G70000, AT2G16720, AT2G43000, AT3G21560, AT5G17220"
10,Upregulated,7.05E-05,77,1791,1.7663775971093,Cellular response to chemical stimulus ,http://amigo.geneontology.org/amigo/term/GO:0070887,"AT1G67360, AT1G68620, AT1G73010, AT1G73500, AT1G77120, AT2G36800, AT3G03270, AT3G24500, AT3G25250, AT3G46080, AT4G01360, AT4G11660, AT5G12030, AT5G59820, AT1G12940, AT1G30135, AT1G60740, AT1G65970, AT2G34600, AT2G40330, AT2G41370, AT3G09440, AT3G12580, AT3G16360, AT3G53230, AT4G26120, AT5G02490, AT5G09590, AT5G13220, AT2G47000, AT5G66350, AT1G03840, AT1G06160, AT1G12110, AT1G15520, AT1G28360, AT1G31770, AT1G43160, AT1G52570, AT1G54160, AT2G17500, AT2G46670, AT3G16500, AT3G25890, AT3G58070, AT4G08770, AT4G08780, AT4G16750, AT5G06730, AT5G10970, AT5G19890, AT5G21960, AT5G40990, AT5G43410, AT5G51060, AT5G60870, AT5G61590, AT5G64750, AT5G65510, AT1G05680, AT1G26380, AT2G41230, AT2G43140, AT4G10380, AT4G25380, AT4G29210, AT4G31970, AT4G37710, AT5G36970, AT5G54060, AT5G57510, AT5G64905, AT2G38240, AT3G55970, AT3G53600, AT5G59780, AT4G25420"
